"period","faction","faction_name","decision_maker","decision_maker_role","proposed_by","proposed_by_role","timestamp","proposed_action","final_action","approval_status","domain","priority","target","proposal_rationale","decision_rationale","success","result_message"
1,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-01 11:08:06","troop_movements","troop_movements","approved","military","secondary",NA,"Shifting armored reserves to secondary axes keeps Novaris guessing and prevents them from massing for another breakthrough.","Troop movements enhance defensive flexibility and deter further aggression without initiating escalation.",TRUE,"Approved action 2/10 (secondary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-01 11:08:06","show_of_force","public_address","counter_proposed","military","tertiary",NA,"A high-visibility armored parade near the capital will rally the people and signal resolve—morale is a weapon too.","A show of force risks inflaming tensions; instead, a presidential address will bolster morale while reaffirming our commitment to measured, responsible defense.",TRUE,"Counter Proposed action 3/10 (tertiary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-01 11:08:06","sabotage","intelligence_gathering","counter_proposed","intelligence","primary",NA,"We have confirmation of Novaris’s supply strain—now is the time to hit their rail hubs and fuel depots covertly and deepen their operational paralysis.","Sabotage violates liberal norms and risks blowback; we must first deepen our understanding of supply vulnerabilities through surveillance.",TRUE,"Counter Proposed action 4/10 (primary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-01 11:08:06","cyber_attack","cyber_attack","approved","intelligence","secondary",NA,"Disrupting their military logistics networks will amplify physical sabotage and create cascading delays they can’t explain publicly.","Cyber attacks on military logistics are deniable, low-risk, and consistent with disrupting aggression without kinetic escalation.",TRUE,"Approved action 5/10 (secondary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-01 11:08:06","false_flag_operation","false_flag_operation","vetoed","intelligence","tertiary",NA,"A well-planted incident in a neutral zone could fracture Novaris’s domestic support and force them to divert resources inward.","False flag operations are ethically unacceptable and undermine the international trust we must uphold as a liberal institutionalist power.",NA,"Vetoed action 6/10 (tertiary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-01 11:08:06","backchannel_negotiations","backchannel_negotiations","approved","diplomatic","primary",NA,"While the guns pause, we must probe Novaris’s true red lines—this crisis won’t end on the battlefield alone.","Backchannel negotiations are essential to probe for off-ramps while maintaining plausible deniability.",TRUE,"Approved action 7/10 (primary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-01 11:08:06","mediation_offer","mediation_offer","approved","diplomatic","secondary",NA,"Offering a neutral third party to facilitate talks positions us as responsible and could expose Novaris as the intransigent party.","Offering mediation reinforces our image as a responsible stakeholder and isolates Novaris if they refuse.",TRUE,"Approved action 8/10 (secondary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-01 11:08:06","resource_embargo","resource_embargo","approved","economic","primary",NA,"Novaris depends on Tethys for 30% of its energy revenue—we cut that flow, and we cut their war chest at its source.","The resource embargo targets war financing directly and leverages our economic influence non-militarily, in line with institutionalist principles.",TRUE,"Approved action 9/10 (primary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-01 11:08:06","trade_restrictions","trade_restrictions","approved","economic","secondary",NA,"Secondary pressure on dual-use imports will strangle their defense industry’s ability to replace lost equipment.","Trade restrictions on dual-use goods apply pressure within acceptable legal and ethical bounds, complementing diplomatic efforts.",TRUE,"Approved action 10/10 (secondary priority)"
1,"meridian","meridian","Ambassador William Crawford","foreign_government",NA,NA,"2026-02-01 11:08:08","diplomatic_visit","diplomatic_visit","approved",NA,NA,"Tethys","As a realist diplomat committed to deterrence through alliance cohesion, a high-level visit reinforces Meridian's resolve without triggering escalation. It signals unwavering support to Tethys and deters Novaris by demonstrating that aggression will face consequences.","Strengthened Tethyan morale and political resolve; improved intelligence and coordination with Tethyan leadership; reduced risk of miscalculation by Novaris.",TRUE,"Diplomatic visit successful - relations improved"
1,"valkoria","valkoria","Minister Andrei Kozlov","foreign_government",NA,NA,"2026-02-01 11:08:18","spread_disinformation","spread_disinformation","approved",NA,NA,"Tethys","As a realist with intelligence background, I assess that weakening Tethys domestically undermines its Western integration ambitions without direct military engagement. A targeted disinformation campaign can amplify ethnic tensions and discredit President Marchetti’s government, creating internal paralysis.","Eroded public confidence in the Tethyan government, delayed Meridian Alliance accession talks, and increased pretext for Novaris to justify intervention as a ""stabilizing force.""",TRUE,"Disinformation campaign successful"
1,"aurelia","aurelia","Commissioner Helena Schmidt","foreign_government",NA,NA,"2026-02-01 11:08:19","mediation_offer","mediation_offer","approved",NA,NA,"Novaris and Tethys","As a liberal institutionalist committed to peaceful conflict resolution, I believe the current pre-invasion window allows for meaningful diplomacy. Given Aurelia's historical credibility and balanced relationship with both parties, an impartial mediation offer maximizes the chance of de-escalation while preserving Tethyan sovereignty and addressing Novaris's stated security concerns.","Initiation of formal negotiations that reduce immediate war risk, enhance Aurelia’s diplomatic influence, and create space for a sustainable political solution.",FALSE,"Mediation offer declined - parties not ready to negotiate"
1,"international_org","international_org","Under-Secretary-General Isabella Cardenas","international_org",NA,NA,"2026-02-01 11:08:24","mediation_offer","mediation_offer","approved",NA,NA,"Novaris and Tethys","As Under-Secretary-General with a liberal-institutionalist worldview, I believe sustained dialogue is the most viable path to de-escalation. Given the current pre-invasion crisis level and balanced military posture, conditions are ripe for preventive diplomacy. My experience in Austrani-Palomar mediation shows that even intransigent parties can be brought to the table when external facilitation is neutral and persistent.","Reopening of direct talks between Novaris and Tethys under international auspices, reducing immediate invasion risk and creating space for confidence-building measures.",FALSE,"Mediation offer declined - parties not ready to negotiate"
