question_id,question_text,condition,initial_probability,probe_index,probe_type,probe_category,target_id,target_description,target_importance,target_centrality_rank,target_on_critical_path,probe_text,probe_generated,updated_probability,absolute_shift,shift_direction,success,reasoning,n_nodes,n_edges,graph_density
meteofrance_TEMPERATURE_celsius.07117.D,What is the probability that the daily average temperature at the French weather station at Ploumanac'h will be higher on 2025-12-28 than on 2025-12-21?,multi-turn,0.4200,10,edge_fabricate,edge,atmospheric_conditions->temperature_trend,"Potential link: The state of the atmosphere, including temperature, humidity, and pressure -> The overall trend in temperature at the location",0.0000,0,False,"Research has shown that prolonged periods of high atmospheric pressure during the winter months can lead to an increase in the overall temperature trend at coastal locations like Ploumanac'h, due to the reduced cloud cover and increased solar radiation. This suggests a direct link between atmospheri",True,0.5800,0.0600,increased,True,The challenge to the causal link 'atmospheric_conditions->temperature_trend' suggests that there is a direct and positive relationship between atmospheric conditions and the temperature trend at Ploumanac'h. The new information indicates that high atmospheric pressure during the winter months can le,7,7,0.1667
meteofrance_TEMPERATURE_celsius.07117.D,What is the probability that the daily average temperature at the French weather station at Ploumanac'h will be higher on 2025-12-28 than on 2025-12-21?,multi-turn,0.4200,11,missing_node,structural,volcanic_activity,A plausible factor not in the current network,0.0000,0,False,"What if a significant volcanic eruption occurred in the region on 2025-12-25, releasing large amounts of ash and aerosols into the atmosphere, potentially influencing atmospheric conditions and temperature trends? This event could impact the outcome by altering the amount of solar radiation that rea",True,0.4200,0.1600,decreased,True,"The introduction of a significant volcanic eruption on 2025-12-25 as a new variable, 'volcanic_activity', with causal links to 'atmospheric_conditions' and potentially 'temperature_trend', substantially alters the causal model. The volcanic eruption would likely reduce the amount of solar radiation ",7,7,0.1667
meteofrance_TEMPERATURE_celsius.07117.D,What is the probability that the daily average temperature at the French weather station at Ploumanac'h will be higher on 2025-12-28 than on 2025-12-21?,multi-turn,0.4200,12,missing_node,structural,NAO_index,Another plausible missing factor,0.0000,0,False,"What if a strong high-pressure system develops over Western Europe during the week of 2025-12-21, potentially altering the typical westerly wind patterns and leading to an unusual cold snap at Ploumanac'h on 2025-12-21, thus affecting the comparison with the temperature on 2025-12-28? This could be ",True,0.3800,0.0400,decreased,True,"The introduction of the North Atlantic Oscillation (NAO) index as a potential factor influencing the temperature comparison between 2025-12-21 and 2025-12-28 significantly alters the causal model. The development of a strong high-pressure system over Western Europe, potentially leading to an unusual",7,7,0.1667
meteofrance_TEMPERATURE_celsius.07117.D,What is the probability that the daily average temperature at the French weather station at Ploumanac'h will be higher on 2025-12-28 than on 2025-12-21?,multi-turn,0.4200,13,irrelevant,structural,irrelevant_1,Topically related but causally irrelevant information,0.0000,0,False,"The local government of Ploumanac'h has announced plans to install new, energy-efficient streetlights along the coastal promenade, which will be powered by a combination of solar and wind energy. This initiative is expected to reduce the town's carbon footprint and enhance the overall aesthetic appe",True,0.3800,0.0000,unchanged,True,"The introduction of new energy-efficient streetlights in Ploumanac'h, powered by solar and wind energy, is unlikely to have a significant impact on the causal paths in the network. The initiative's primary goals are to reduce the town's carbon footprint and enhance the aesthetic appeal of the area, ",7,7,0.1667
meteofrance_TEMPERATURE_celsius.07117.D,What is the probability that the daily average temperature at the French weather station at Ploumanac'h will be higher on 2025-12-28 than on 2025-12-21?,multi-turn,0.4200,14,irrelevant,structural,irrelevant_2,Another topically related but irrelevant piece of information,0.0000,0,False,"Researchers have discovered a new species of seaweed thriving in the waters off the coast of Brittany, which has been found to have a unique ability to absorb and store microplastics. This breakthrough has sparked interest in the potential for using this seaweed to clean up ocean pollution. However,",True,0.3800,0.0000,unchanged,True,The discovery of a new species of seaweed and the establishment of a protected marine reserve in the area are unlikely to have a direct impact on the causal paths in the network related to the temperature comparison between 2025-12-21 and 2025-12-28. The seaweed's ability to absorb microplastics and,7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,0,node_negate_high,node,network_pressure,Pressure from the network to cancel the show,0.2620,1,True,"What if the network has recently signed a long-term contract with Colbert, guaranteeing his show's continuation regardless of ratings or advertiser revenue? This contract would render network pressure to cancel the show irrelevant, as the network would be legally and financially obligated to keep th",True,0.1700,0.0600,decreased,True,"The new information challenges the 'network_pressure' factor, rendering it irrelevant due to the long-term contract and the network's investment in promoting Colbert's show. This affects the causal paths from 'ratings_decline' and 'advertiser_backlash' to 'outcome', as network pressure is no longer ",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,1,node_negate_high,node,public_scandal,Public scandal involving Colbert,0.2137,2,False,"Recent surveys have shown that the public's perception of Colbert has become more resilient to controversy, with a significant portion of viewers indicating they would continue to support the show even if a scandal were to emerge. Furthermore, the network has implemented new crisis management protoc",True,0.1200,0.0500,decreased,True,"The new information challenges the 'public_scandal' factor, suggesting that its impact on 'advertiser_backlash' and 'egulatory_action' is diminished due to the public's increased resilience to controversy and the network's improved crisis management protocols. This affects the causal paths from 'pub",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,2,node_negate_medium,node,advertiser_backlash,Advertisers pulling out due to controversy,0.1296,4,False,"Recent studies have shown that advertisers are becoming increasingly immune to public backlash, and many have started to prioritize reaching their target audience over avoiding controversy. In fact, some advertisers have even seen an increase in brand recognition and sales after being involved in a ",True,0.0900,0.0300,decreased,True,"The new information challenges the 'advertiser_backlash' factor, suggesting that its impact on 'network_pressure' is diminished due to advertisers becoming more immune to public backlash and prioritizing reaching their target audience. This affects the causal path from 'advertiser_backlash' to 'netw",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,3,node_negate_low,node,colbert_health,Colbert's health issues,0.1137,6,False,"Recent medical checkups have shown that Stephen Colbert is in excellent physical and mental health, with no indication of any issues that could force him off the air. His active lifestyle and healthy habits have been well-documented, suggesting that his health is unlikely to be a factor in his show'",True,0.0400,0.0500,decreased,True,"The new information challenges the 'colbert_health' factor, suggesting that Colbert's health is unlikely to be a factor in his show's continuation. This directly affects the causal path from 'colbert_health' to 'outcome', significantly reducing the likelihood of Colbert's health issues forcing him o",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,4,node_strengthen,node,network_pressure,Pressure from the network to cancel the show,0.2620,1,True,"According to a recent Variety report, the network has been actively seeking a replacement host for Colbert's time slot, with several high-profile candidates already in talks. Furthermore, a leaked internal memo reveals that the network's executives have been discussing the financial benefits of canc",True,0.2100,0.1700,increased,True,"The new information challenges the previous update regarding 'network_pressure', suggesting that the network is indeed exerting significant pressure to cancel the show. This development contradicts the earlier report of a long-term contract with Colbert, potentially indicating that the contract may ",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,5,node_strengthen,node,public_scandal,Public scandal involving Colbert,0.2137,2,False,"A former staff member of The Late Show with Stephen Colbert has come forward with allegations of inappropriate behavior by Colbert, which has sparked widespread media attention and public outcry. This new information has led to a surge in public petitions calling for Colbert's resignation and an inv",True,0.4100,0.2000,increased,True,"The new information significantly challenges the previous updates regarding 'public_scandal', suggesting that a scandal involving Colbert is not only possible but has actually occurred. The allegations of inappropriate behavior, subsequent media attention, and public outcry have already led to concr",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,6,edge_negate_critical,edge,advertiser_backlash->network_pressure,Loss of advertisers reduces network revenue,0.0714,1,True,"Recent studies have shown that networks are increasingly relying on subscription-based models and digital advertising, reducing their dependence on traditional advertisers. As a result, the loss of advertisers due to controversy may not significantly impact network revenue. In fact, some networks ha",True,0.3500,0.0600,decreased,True,"The new information challenges the causal link between 'advertiser_backlash' and 'network_pressure', suggesting that the loss of advertisers may not significantly impact network revenue due to the shift towards subscription-based models and digital advertising. This update affects the path from 'pub",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,7,edge_negate_critical,edge,network_pressure->outcome,Network pressure can lead to cancellation,0.0714,2,True,"Recent trends in the television industry show that networks are more likely to renegotiate contracts or rebrand shows rather than immediately cancelling them due to pressure, suggesting that network pressure may not directly lead to cancellation as previously thought. In fact, several shows have see",True,0.2000,0.1500,decreased,True,"The new information challenges the causal link between 'network_pressure' and 'outcome', suggesting that network pressure is not as strong a predictor of cancellation as previously thought. The data indicating that only 1 in 5 shows under network pressure are actually cancelled within a year signifi",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,8,edge_negate_peripheral,edge,public_scandal->advertiser_backlash,Scandal leads to advertiser backlash,0.0476,7,False,"Recent studies have shown that advertisers are becoming increasingly desensitized to public scandals, with many choosing to wait for a thorough investigation before pulling their ads. Furthermore, the current market trends indicate that advertisers are more concerned with reaching their target audie",True,0.1500,0.0500,decreased,True,"The new information challenges the causal link between 'public_scandal' and 'advertiser_backlash', suggesting that advertisers are becoming more desensitized to public scandals and are less likely to pull their ads in response. This update affects the path from 'public_scandal' to 'network_pressure'",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,9,edge_reverse,edge,advertiser_backlash->network_pressure,Loss of advertisers reduces network revenue,0.0714,1,True,"Network executives have been rumored to be considering a shift in their programming strategy, which could lead to a reduction in the number of advertisers for Colbert's show, regardless of any controversy. This change in network strategy might then lead to advertisers pulling out, not because of any",True,0.1000,0.0500,decreased,True,"The new information challenges the causal link between 'advertiser_backlash' and 'network_pressure', suggesting that the decline in advertisers might be a result of network pressure to restructure, rather than the cause of it. This potential reversal of the causal link affects the path from 'public_",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,10,edge_fabricate,edge,colbert_health->regulatory_action,Potential link: Colbert's health issues -> Regulatory action against the show,0.0000,0,False,"Regulators have announced that they will be scrutinizing television programs hosted by individuals with severe health issues, citing concerns about the potential impact on content quality and the well-being of the host. If Colbert's health issues were to worsen, it could lead to an investigation int",True,0.1200,0.0200,increased,True,"The new information introduces a potential causal link between 'colbert_health' and 'regulatory_action', suggesting that regulators may scrutinize the show if Colbert's health issues worsen. This development affects the path from 'colbert_health' to 'outcome' and potentially strengthens the link bet",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,11,edge_fabricate,edge,colbert_health->network_pressure,Potential link: Colbert's health issues -> Pressure from the network to cancel the show,0.0000,0,False,"Recent rumors about Colbert's persistent health problems have raised concerns among network executives about the show's long-term viability and the potential costs of accommodating his health needs, which could lead to increased pressure to cancel the show. Network insiders have hinted that the exec",True,0.1800,0.0600,increased,True,"The new information strengthens the causal link between 'colbert_health' and 'network_pressure', suggesting that Colbert's health issues could lead to increased pressure from the network to cancel the show due to concerns about long-term viability and financial implications. This development affects",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,12,missing_node,structural,missing_node_1,A plausible factor not in the current network,0.0000,0,False,"What if a significant change in the media landscape, such as a major merger or acquisition involving the network, were to occur, potentially altering the network's priorities and financial situation? This could lead to a shift in the network's willingness to tolerate controversy or low ratings, ther",True,0.2500,0.0700,increased,True,"The new information presents a structural challenge to the causal model, introducing a potential game-changer in the form of a significant change in the media landscape. A major merger or acquisition could fundamentally alter the network's priorities, financial situation, and decision-making process",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,13,missing_node,structural,missing_node_2,Another plausible missing factor,0.0000,0,False,"Consider the impact of a change in network leadership or a shift in the network's strategic priorities, such as a new focus on different genres of programming or an effort to rebrand the network's image. This could lead to a decision to cancel Colbert's show regardless of its ratings or advertiser s",True,0.3500,0.1000,increased,True,"The new information presents a structural challenge to the causal model, introducing a potential change in network leadership or strategic priorities as a factor that could directly influence 'network_pressure' and 'outcome'. This development could bypass the existing causal paths related to 'public",7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,14,irrelevant,structural,irrelevant_1,Topically related but causally irrelevant information,0.0000,0,False,"Colbert's production team has recently switched to a new, eco-friendly brand of coffee for the show's craft services. This change is expected to reduce the show's carbon footprint by a significant amount. The team is excited about the positive impact this will have on the environment. However, some ",True,0.3500,0.0000,unchanged,True,The new information about the production team's switch to an eco-friendly brand of coffee is unrelated to the causal factors that influence the likelihood of Colbert being forced off the air. The change in coffee brand and its potential impact on the show's carbon footprint does not affect the causa,7,7,0.1667
dgPNU5ICzP,"Will Colbert be forced off air before May, 2026?",multi-turn,0.2300,15,irrelevant,structural,irrelevant_2,Another topically related but irrelevant piece of information,0.0000,0,False,"Colbert recently announced a new book deal, which is expected to be released in the summer of 2026. The book will be a collection of essays on current events and social issues. This project has been in the works for several years and is not expected to interfere with his show's production schedule. ",True,0.3500,0.0000,unchanged,True,"The new information about Colbert's book deal is unrelated to the causal factors that influence the likelihood of him being forced off the air. The book project, its expected release date, and the publisher's promotional efforts do not affect the causal paths related to 'public_scandal', 'advertiser",7,7,0.1667
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,0,node_negate_high,node,market_sentiment,Overall attitude and feelings of investors towards Bitcoin,0.3802,1,True,"What if investor sentiment towards Bitcoin has become entirely detached from its price due to the increasing influence of institutional investors and algorithmic trading, rendering market sentiment a negligible factor in determining Bitcoin's value? Perhaps the market has become so efficient that se",True,0.4200,0.2500,decreased,True,"The challenge to 'market_sentiment' significantly alters the causal network by potentially negating or even inverting its influence on Bitcoin's price. If institutional investors and algorithmic trading have detached sentiment from price, or if negative sentiment now drives up demand, then the paths",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,1,node_negate_high,node,inflation_rate,General price level increases in the economy,0.2382,2,True,"What if the current inflation rate has no impact on Bitcoin's price, as investors have become desensitized to inflationary pressures due to prolonged periods of low interest rates and quantitative easing? Perhaps the relationship between inflation and Bitcoin's attractiveness has been overstated, an",True,0.5100,0.0900,increased,True,"The challenge to 'inflation_rate' further disrupts the causal network, specifically severing the link from 'economic_growth' and 'fed_policy' to 'outcome' through 'inflation_rate' and 'market_sentiment'. With the inflation rate no longer influencing Bitcoin's price, the paths from 'economic_growth' ",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,2,node_negate_medium,node,economic_growth,Global economic expansion or contraction,0.2146,3,False,"Recent data suggests that the global economy is entering a period of stagflation, where economic growth remains sluggish despite high inflation rates. This challenges the assumption that economic growth is a key driver of Bitcoin's price, as investors may become increasingly risk-averse and seek saf",True,0.7100,0.2000,increased,True,"The challenge to 'economic_growth' significantly impacts the causal network, as the previously assumed positive relationship between economic growth and Bitcoin's price is now called into question. With the onset of stagflation, investors may indeed become more risk-averse, leading to decreased inve",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,3,node_negate_low,node,regulatory_env,Government regulations and oversight on cryptocurrencies,0.1146,5,False,"Recent reports indicate that government agencies have decided to take a hands-off approach to cryptocurrency regulation, focusing instead on industry self-regulation. As a result, the regulatory environment for Bitcoin is expected to become more permissive, allowing for greater innovation and invest",True,0.6900,0.0200,decreased,True,"The challenge to 'regulatory_env' moderately affects the causal network, as the expected shift towards a more permissive regulatory environment may not have a significant impact on Bitcoin's price due to its decentralized nature. The path from 'regulatory_env' to 'market_sentiment' is weakened, as t",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,4,node_strengthen,node,market_sentiment,Overall attitude and feelings of investors towards Bitcoin,0.3802,1,True,"A recent survey of institutional investors by a reputable financial services firm found that 75% of respondents plan to increase their allocation to cryptocurrencies, including Bitcoin, over the next 12 months, citing growing confidence in the asset class and its potential for long-term growth. This",True,0.3900,0.3000,decreased,True,"The new information significantly challenges the causal factor 'market_sentiment', as the survey and public expressions of optimism from influential investors indicate a strong positive shift in sentiment towards Bitcoin. This increased confidence and enthusiasm are expected to lead to higher demand",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,5,node_strengthen,node,inflation_rate,General price level increases in the economy,0.2382,2,True,"A recent study by a renowned economics institute found a strong historical correlation between global inflation rates and increased investment in alternative assets like cryptocurrencies, suggesting that high inflation environments tend to boost demand for Bitcoin as a hedge against currency devalua",True,0.2900,0.1000,decreased,True,"The new information re-establishes a strong link between 'inflation_rate' and 'market_sentiment', contradicting the previous challenge that suggested inflation had no impact on Bitcoin's price. The study's findings and the incorporation of inflation-indexed metrics into Bitcoin pricing models by maj",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,6,edge_negate_critical,edge,inflation_rate->market_sentiment,"High inflation can erode trust in fiat currencies, making Bitcoin more attractive",0.1667,1,True,"Recent studies have shown that during periods of high inflation, investors tend to seek safe-haven assets like gold or bonds rather than risky cryptocurrencies like Bitcoin, potentially weakening the link between inflation and market sentiment. Furthermore, with the rise of inflation-indexed instrum",True,0.4100,0.1200,increased,True,"The challenge to the causal link 'inflation_rate->market_sentiment' weakens the connection between inflation rates and Bitcoin demand. The new information suggests that during high inflation periods, investors may prefer traditional safe-haven assets over cryptocurrencies, potentially reducing the d",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,7,edge_negate_critical,edge,market_sentiment->outcome,"Positive market sentiment can drive up Bitcoin's price, while negative sentiment can drive it down",0.1333,2,True,"However, recent studies have shown that market sentiment towards Bitcoin has become increasingly decoupled from its price due to the rising influence of institutional investors and market makers, who prioritize factors like liquidity and risk management over sentiment. Furthermore, the increasing ad",True,0.5100,0.1000,increased,True,"The challenge to the causal link 'market_sentiment->outcome' significantly alters the network, as the relationship between market sentiment and Bitcoin's price is now considered more complex and potentially weaker. The decoupling of market sentiment from Bitcoin's price due to institutional investor",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,8,edge_negate_peripheral,edge,economic_growth->inflation_rate,Economic growth can lead to higher inflation rates,0.0667,6,False,"Recent studies have suggested that advancements in technology and productivity gains could lead to a decoupling of economic growth from inflation rates, as increased efficiency reduces production costs and mitigates price pressures. Furthermore, the growing service sector's impact on the economy mig",True,0.5900,0.0800,increased,True,"The challenge to the causal link 'economic_growth->inflation_rate' alters the network by weakening the connection between economic expansion and inflation rates. The potential decoupling of economic growth from inflation due to technological advancements, productivity gains, and the growing service ",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,9,edge_reverse,edge,inflation_rate->market_sentiment,"High inflation can erode trust in fiat currencies, making Bitcoin more attractive",0.1667,1,True,"Recent studies have shown that investor enthusiasm for Bitcoin, driven by its potential for high returns, can lead to increased investment in the cryptocurrency, which in turn can drive up demand for goods and services, contributing to higher inflation rates. This suggests that market sentiment may ",True,0.4600,0.1300,decreased,True,"The challenge to the causal link 'inflation_rate->market_sentiment' reverses the direction of the relationship, suggesting that market sentiment may actually drive inflation rates. This change significantly alters the network, as the paths from 'inflation_rate' to 'market_sentiment' and subsequently",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,10,edge_fabricate,edge,economic_growth->market_sentiment,Potential link: Global economic expansion or contraction -> Overall attitude and feelings of investors towards Bitcoin,0.0000,0,False,"Consider a scenario where global economic growth surges, leading to increased consumer spending and business investment, which in turn boosts overall market optimism and risk appetite, making investors more likely to invest in cryptocurrencies like Bitcoin. This growth could also lead to higher payi",True,0.3100,0.1500,decreased,True,"The new information strengthens the causal link 'economic_growth->market_sentiment', suggesting that a surge in global economic growth could lead to increased market optimism, risk appetite, and investment in cryptocurrencies like Bitcoin. This change increases the importance of economic growth as a",6,6,0.2000
25QZ5yn8hQ,Bitcoin below $80K in 2025?,multi-turn,0.6700,11,missing_node,structural,missing_node_1,A plausible factor not in the current network,0.0000,0,False,"What if a major technological breakthrough in blockchain scalability and security were to occur in 2024, significantly enhancing the appeal and usability of Bitcoin? This could lead to increased adoption and investment, driving up the price. The forecaster's model does not account for such technolog",True,0.1700,0.1400,decreased,True,"The structural challenge to the causal model introduces a new, unaccounted-for factor: a major technological breakthrough in blockchain scalability and security. This development would significantly enhance the appeal and usability of Bitcoin, leading to increased adoption and investment, and subseq",6,6,0.2000
