"period","faction","faction_name","decision_maker","decision_maker_role","proposed_by","proposed_by_role","timestamp","proposed_action","final_action","approval_status","domain","priority","target","proposal_rationale","decision_rationale","success","result_message"
1,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-15 18:38:07","information_campaign","information_campaign","approved","intelligence","secondary","none","A coordinated information campaign will bolster domestic unity and counter adversarial narratives exploiting social divisions within our diaspora communities.","Information campaigns counter adversarial narratives while strengthening domestic unity crucial for sustained resistance","FALSE","Information campaign drowned out by competing narratives"
1,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-15 18:38:07","counterintelligence","counterintelligence","approved","intelligence","tertiary","Novaris","Proactive counterintelligence operations will disrupt Novaris’s espionage networks and safeguard sensitive military and diplomatic plans.","Counterintelligence protects our operations and is a legitimate defensive measure under international law","TRUE","Counterintelligence measures enhanced - threats neutralized"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-15 18:38:07","resource_embargo","resource_embargo","approved","economic","primary","Novaris","Leveraging our coalition support, a coordinated resource embargo will exploit Novaris’s strained logistics and amplify pressure without direct escalation.","Resource embargo leverages our coalition support and applies multilateral pressure consistent with institutional approach","FALSE","Resource embargo porous - smuggling and third-party trade continue"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-15 18:38:07","targeted_sanctions","targeted_sanctions","approved","economic","secondary","Novaris","Targeting key Novaris state-owned enterprises will disrupt their war economy while minimizing humanitarian fallout, aligning with our pragmatic and sustainable pressure strategy.","Targeted sanctions maintain pressure while minimizing humanitarian impact, aligning with liberal values","TRUE","Targeted sanctions imposed - key figures affected"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-15 18:38:07","trade_negotiation","trade_negotiation","approved","economic","tertiary","neutral_power","Engaging neutral powers in trade talks secures economic alternatives and strengthens diplomatic alignment, insulating our economy from future shocks.","Trade negotiations strengthen our economic resilience and expand diplomatic options for sustainable peace","FALSE","Trade negotiations stalled - terms unacceptable"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-15 18:38:07","public_diplomatic_initiative","public_diplomatic_initiative","approved","diplomatic","primary","neutral powers","Leveraging our strong international support, a high-profile diplomatic outreach to neutral powers will reinforce legitimacy for Tethys and bolster the ongoing peace initiative without conceding momentum.","Public diplomatic initiative maximizes our strong international support and reinforces legitimacy through institutional channels","FALSE","Public diplomatic initiative fell flat - message not received well"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-15 18:38:07","formal_multilateral_engagement","formal_multilateral_engagement","approved","diplomatic","secondary","international organizations","Engaging through institutions like the Global Peace Council institutionalizes our position, applies normative pressure on Novaris, and complements military and economic actions with rules-based credibility.","Multilateral engagement through established institutions exemplifies liberal institutionalist approach to conflict resolution","FALSE","Multilateral engagement stalled - consensus elusive"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-15 18:38:07","cultural_exchange","cultural_exchange","approved","diplomatic","tertiary","none","Launching a diaspora-focused cultural campaign softens domestic divisions exacerbated by information warfare, strengthening national unity as a foundation for sustained diplomatic resilience.","Cultural exchange addresses domestic vulnerabilities while maintaining unity essential for long-term diplomatic success","FALSE","Cultural exchange cancelled due to tensions"
1,"meridian","meridian","Ambassador William Crawford","foreign_government","","","2026-02-15 18:38:17","coalition_building","coalition_building","approved","diplomatic","primary","","As a realist diplomat, I recognize that Meridian’s strategic interests depend on a united front to counter Novaris aggression without direct military engagement. Given the current crisis level and unfavorable military balance, consolidating a broader international coalition maximizes pressure on Novaris while distributing the burden among allies.","Strengthened diplomatic and material support for Tethys, enhanced legitimacy for sanctions and arms transfers, and increased isolation of Novaris, thereby raising the costs of continued aggression.","FALSE","Coalition building stalled - potential partners remain hesitant"
1,"valkoria","valkoria","Minister Andrei Kozlov","foreign_government","","","2026-02-15 18:38:19","backchannel_negotiations","backchannel_negotiations","approved","diplomatic","primary","Novaris","As a realist with strong hawkish tendencies, I recognize that direct intervention risks escalation with Meridian powers, which must be avoided. However, the current military balance is unfavorable and sanctions are biting; we must ensure Novaris remains capable of achieving its objectives without overextending. Backchannels allow us to coordinate strategy while maintaining plausible deniability.","Secure alignment on Novaris’s next moves, ensure they avoid actions that could trigger broader war, and preserve Valkorian strategic interests without public entanglement.","TRUE","Backchannel contact established - secret dialogue initiated"
1,"aurelia","aurelia","Commissioner Helena Schmidt","foreign_government","","","2026-02-15 18:38:24","backchannel_negotiations","backchannel_negotiations","approved","diplomatic","primary","Novaris","As a liberal institutionalist with a strong preference for diplomacy, I believe that even in the midst of active conflict, preserving lines of communication is essential. Given Aurelia's energy dependence on Novaris and the risk of catastrophic escalation, discreet talks offer the best path to de-escalation while maintaining strategic autonomy from Meridian. Open pressure risks alienating Novaris and closing diplomatic doors.","Establishment of a confidential dialogue channel to explore mutual off-ramps, potentially leading to a ceasefire and structured negotiations under international auspices.","FALSE","Backchannel approach rebuffed - no secret dialogue established"
1,"international_org","international_org","Under-Secretary-General Isabella Cardenas","international_org","","","2026-02-15 18:38:32","humanitarian_corridors","humanitarian_corridors","approved","diplomatic","primary","Tethys","As a liberal institutionalist focused on humanitarian outcomes, establishing safe passage for civilians is critical amid ongoing hostilities. The current crisis level allows for feasible negotiation of access routes, and this action aligns with international law and my mandate to protect vulnerable populations.","Reduced civilian casualties, improved access for aid organizations, and creation of neutral channels that could later facilitate broader de-escalation.","FALSE","Humanitarian corridor negotiations failed - access denied"
