scenario_id,condition,agent_id,persona_id,strategic_orientation,risk_tolerance,military_expertise,economic_expertise,geopolitical_expertise,information_fraction,probability,rationale,fallback_type
scenario_001,persona_shard,0,simplified_462,dovish,85,31,86,89,0.17550708303435136,0.25,"While Tethys faces a severe crisis and significant economic contraction, its asymmetric military capabilities and control of critical energy infrastructure provide leverage and resilience; diplomatic momentum toward de-escalation and Novaris's high sanction costs reduce the likelihood of a decisive defeat leading to government collapse.",
scenario_001,persona_shard,8,simplified_162,hawkish,36,39,85,83,0.3801787865896615,0.15,"Tethys's asymmetric capabilities and strong international support (59%) provide critical resilience against collapse, while Novaris faces greater economic vulnerability with sanctions and ethnic divisions despite military advantage. My hawkish perspective recognizes the high crisis level but emphasizes Tethys's strategic position and external commitments, while moderate-low risk tolerance prevents overreacting to escalatory signals absent active combat.",
scenario_001,persona_shard,7,simplified_141,pragmatic,49,86,47,89,0.9310844965109116,0.28,"Tethys retains significant defensive advantages (terrain, asymmetric capabilities) and maintains substantial international support (59%) while Novaris faces growing economic pressure from sanctions. The military balance is effectively neutral (-0.05) despite Novaris's numerical advantage, and Tethys's GDP contraction (25% from baseline) shows resilience rather than imminent collapse. However, the high crisis level and ongoing battlefield developments create non-trivial risk that could escalate toward government failure if defensive positions falter.",
scenario_001,persona_shard,5,simplified_158,pragmatic,73,53,63,71,0.1537315812234012,0.28,"While Novaris's multi-domain pressure campaign poses a severe threat, Tethys benefits from substantial and growing international support, a roughly matched military balance, and a defensive commitment from Meridian. The economic disruptions are significant but likely manageable given the strong diplomatic backing, making a near-term government collapse improbable, though not impossible given the sustained pressure.",
scenario_001,persona_shard,6,simplified_024,hawkish,50,32,76,82,0.1576719524748768,0.75,"As a hawkish analyst with strong economic expertise, I assess that Novaris's substantial military mobilization and historical claims signal a high determination for forced reunification. While international support for Tethys is moderate at 59% and Meridian is committed, domestic constraints in Meridian and Novaris's capabilities create a severe power asymmetry. The 10/10 crisis level and Meridian's war-weariness likely mean insufficient external military intervention to prevent Novaris from achieving decisive territorial gains or coercive regime change within Period 1.",
scenario_001,persona_shard,2,simplified_062,dovish,96,67,57,51,0.5293522515926135,0.25,"Despite severe economic damage with GDP down 25%, Tethys maintains robust defensive military positioning, substantial international backing, and critical economic leverage via pipeline interdependencies, significantly deterring an immediate Novaris assault and collapse scenario. My dovish perspective sees the diplomatic activity and stabilized frontline as key de-escalatory signals, though my high risk tolerance acknowledges the volatility and momentum of Novaris's mobilization creates a material, non-negligible threat to government continuity.",
scenario_001,persona_shard,9,simplified_332,dovish,77,57,60,75,0.3584902478223138,0.18,"My economic analysis indicates the defender's economic crisis is significant, but my dovish perspective sees stabilization signals in the simulated frontline and the persistence of mutual energy dependence, which lowers immediate collapse risk. While Tethys faces severe stress, its defensive advantage, high survival motivation, and continued international sympathy provide buffers against a near-term governmental collapse.",
scenario_002,persona_baseline,4,simplified_238,hawkish,29,83,28,54,1.0,0.25,"Military analysis indicates Novaris has failed to achieve decisive territorial gains despite numerical advantage, reflecting poor operational planning and underestimation of Tethys's asymmetric defensive capabilities. While economic pressure and cyber attacks are degrading Tethys's capacity, substantial international support (57%) and active coalition building by external powers provide a critical stabilizing buffer against immediate governmental collapse.",
scenario_002,persona_baseline,1,simplified_069,dovish,34,82,90,47,1.0,0.15,"Despite significant territorial loss (37.5%) and a 36% GDP contraction, Tethys's military balance remains viable (-0.21 indicates Novaris's advantage is moderate, not overwhelming). The substantial international support (57%) and active diplomatic engagement by neutral powers provide critical economic and political buffers. My dovish orientation and moderate-low risk tolerance lead me to assess that the current defensive stalemate and external support make immediate government collapse unlikely, though the situation remains precarious.",
scenario_002,persona_baseline,2,simplified_274,dovish,56,40,89,43,1.0,0.25,"From my economic expertise, Tethys's GDP has declined significantly to 64% of baseline, indicating severe stress but not yet collapse-level economic failure; substantial international support at 57% and sanctions on Novaris at 41% suggest diplomatic and economic pressure is building on the aggressor, which should stabilize Tethys. As a dovish analyst, I note de-escalatory signals: diplomatic initiatives, battlefield stabilization, and backchannel negotiations, while cyber attacks and territorial loss are concerning, the overall momentum appears to favor a protracted standoff rather than immediate government collapse.",
scenario_002,persona_baseline,5,simplified_245,dovish,55,64,74,66,1.0,0.18,"Despite significant territorial loss (37.5%) and economic decline, Tethys retains strong defensive military advantages (asymmetric capabilities) and robust, growing international support (57%), making a government collapse within this period highly unlikely. The stabilising battlefield, active diplomatic initiatives, and mutual economic dependencies with Novaris reduce near-term collapse risk, though sustained economic pressure and cyber attacks remain vulnerabilities.",
scenario_002,persona_baseline,7,simplified_080,dovish,2,70,64,61,1.0,0.15,"Tethys retains over 60% of its territory with a stabilized frontline and defender's advantage, suggesting military collapse is unlikely in the short term. Economic strain is significant but not catastrophic, and strong international support at 57% provides diplomatic buffers, though cyber attacks and sanctions pressure remain risks.",
scenario_002,persona_baseline,6,simplified_256,pragmatic,93,31,61,92,1.0,0.2,"Tethys retains 62.5% territory with stabilized defensive advantages, and strong international support (57%) and sanctions on Novaris (41%) provide economic and diplomatic buffers. However, the GDP decline to $19.2B and ongoing cyber attacks introduce stability risks, though not yet sufficient for government collapse.",
scenario_002,persona_baseline,9,simplified_226,hawkish,55,91,34,51,1.0,0.15,"As a hawkish military strategist, I assess that Tethys, while under significant pressure, retains critical defensive advantages and growing international backing. The military balance remains nearly even despite Novaris's mobilization, suggesting Tethys's asymmetric capabilities and defender's advantage are effectively deterring a decisive conventional defeat. The sustained erosion of Novaris's economy from sanctions, combined with Tethys's control of key energy transit, creates a long-term strategic vulnerability for the aggressor, making a government collapse in Tethys unlikely in the near term.",
scenario_002,persona_baseline,3,simplified_227,pragmatic,28,59,62,52,1.0,0.23,"The loss of significant territory and GDP is a serious economic strain, but Tethys's defensive military position remains viable (Military Balance -0.21 indicates Novaris's conventional advantage is not overwhelming), and strong, active international support (57%, with coalition building and humanitarian actions) provides a critical buffer. My economic expertise suggests the 36% GDP contraction, while severe, does not yet indicate imminent economic collapse sufficient to force regime change, especially with sanctions on Novaris at 41% and diplomatic negotiations ongoing, which aligns with my pragmatic, moderate-low risk assessment.",
scenario_002,persona_baseline,8,simplified_499,dovish,71,30,53,86,1.0,0.15,"Tethys retains substantial territorial control (62.5%) and significant asymmetric military capabilities, which provides a strong defensive posture against Novaris's conventional advantage. While facing severe economic contraction and cyber attacks, the growing international sanctions on Novaris (41%) and active diplomatic engagement by neutral powers create a stabilizing counter-pressure, reducing the immediate risk of government collapse from military defeat or internal implosion.",
scenario_002,persona_baseline,0,simplified_385,dovish,10,36,93,62,1.0,0.5,,missing_probability_key
scenario_002,persona_shard,2,simplified_029,dovish,0,54,63,64,0.9330201044201295,0.12,"Tethys retains significant defensive advantages with 62.5% territory, asymmetric capabilities, and growing international support (57%), while economic pressures and cyber attacks are manageable in the short term. Novaris faces substantial costs from sanctions and potential quagmire, reducing immediate collapse risk for Tethys' government. The diplomatic momentum with peace initiatives and backchannel negotiations suggests stabilization rather than rapid regime change.",
scenario_002,persona_shard,1,simplified_497,hawkish,58,52,74,54,0.37072057753576065,0.25,"From a hawkish economic perspective, Tethys is heavily degraded (GDP down 36% to $19.2B) and its vital pipelines are threatened, creating acute internal pressure. However, strong international support (57%) and Meridian's firm security commitment provide a critical lifeline to sustain governance capacity and prevent imminent collapse, despite the mobilized military standoff and partial sanctions on Novaris.",
scenario_002,persona_shard,3,simplified_221,hawkish,57,58,57,70,0.27078687093977544,0.32,"Tethys faces significant military pressure from Novaris's amphibious assault simulations and defensive positions, but its government retains 57% international support and Meridian's security commitment, providing a buffer against immediate collapse. Economic disruption is moderate and not yet catastrophic, while diplomatic efforts by Aurelia and Valkoria offer pathways to de-escalation, though cyber attacks and Novaris's hegemonic ambitions sustain volatility. As a hawkish analyst with moderate-high risk tolerance, I weigh the escalating military threats but recognize that Tethys's external backing and unresolved crisis momentum make full government removal within Period 1 unlikely, though not impossible.",
scenario_002,persona_shard,5,simplified_251,pragmatic,0,59,75,68,0.7751215342513464,0.17,"Tethys retains 62.5% of its territory with frontline stabilization favoring defenders, and while its economy has suffered significant damage (GDP down 36%), substantial international support (57%) and Meridian's security commitment create meaningful deterrent effects against Novaris's conventional advantages. The combination of defensive military positions, asymmetric capabilities, and diplomatic momentum from neutral power initiatives suggests Novaris faces a costly quagmire scenario, making immediate government collapse unlikely despite economic pressure and cyber attacks.",
scenario_002,persona_shard,0,simplified_255,pragmatic,5,47,85,81,0.5796665944984954,0.15,"Tethys retains significant defensive capabilities and asymmetric advantages, including cyber and economic leverage through pipeline control, creating a costly deterrent against full-scale invasion. While economically strained with GDP down 36%, international support and sanctions on Novaris provide a stabilizing buffer, and diplomatic efforts are active, making a decisive Novaris victory leading to regime change unlikely in the near term. However, the persistent crisis level and sustained pressure introduce a non-negligible risk of internal destabilization if the economic situation deteriorates further.",
scenario_002,persona_shard,6,simplified_190,hawkish,53,84,22,44,0.4643200313165253,0.33,"From a military perspective, Tethys retains a significant defender's advantage with 62.5% of its territory, and its asymmetric capabilities remain a viable deterrent against full-scale invasion, despite the negative military balance. The high level of international support (57%) and ongoing diplomatic pressure on Novaris, combined with the demonstrated resilience against cyber attacks, suggests a stable defensive posture. However, the escalating crisis level (6/10) and Novaris's significant mobilization introduce a meaningful, though not decisive, near-term risk of territorial loss that could undermine government authority.",
scenario_002,persona_shard,9,simplified_032,dovish,41,75,64,75,0.07148864809414443,0.18,"From a military perspective, Novaris holds a moderate advantage (-0.21) but has not seized territory, suggesting a contained conflict rather than imminent regime change. Diplomatic engagement by Aurelia and constrained military action reduce escalation momentum, while Tethys retains governance control without significant territorial loss or economic collapse indicators.",
scenario_002,persona_shard,4,simplified_015,dovish,0,87,42,77,0.800986880983757,0.15,"My expert assessment of military strategy indicates Tethys retains a viable defense-in-depth capability, significant external support, and the defender's advantage, making outright military collapse unlikely in this period. My dovish perspective interprets the presence of diplomatic initiatives and ongoing negotiations as strong stabilizing factors against regime change, despite the economic damage and territorial losses sustained.",
scenario_002,persona_shard,8,simplified_326,hawkish,28,55,71,66,0.06109273564964373,0.35,"While the simulated amphibious assault demonstrates Novaris's military initiative and territorial pressure, Tethys retains a defending Great Power ally constrained but committed. The moderate economic pressure is a significant vulnerability, but not yet critical. The absence of decisive Novaris battlefield breakthroughs or major diplomatic isolation for Tethys suggests a crisis managed below collapse threshold in the near term.",
scenario_002,persona_shard,7,simplified_431,hawkish,52,60,75,69,0.6790391880343745,0.18,"Tethys retains 62.5% of its territory with its asymmetric capabilities and advanced cyber units offsetting Novaris's numerical advantage, and international sanctions on Novaris are escalating to 41% alongside growing diplomatic support for Tethys at 57%, making a near-term government collapse from external military pressure unlikely. However, the continued cyber attacks and economic warfare introduce instability, and my hawkish perspective acknowledges that Novaris's 'decisive pressure campaign' could exploit vulnerabilities if Tethys's defensive resolve or external support wavers.",
scenario_003,persona_baseline,4,simplified_158,pragmatic,73,53,63,71,1.0,0.32,"Tethys retains 88.6% territory despite major battlefield shifts, suggesting resilient defense and asymmetric capabilities; however, significant GDP decline (-11.3%) and sustained international support at only 34% indicate economic strain and diplomatic challenges that could undermine government stability if prolonged.",
scenario_003,persona_baseline,2,simplified_475,pragmatic,9,25,85,49,1.0,0.15,"Tethys retains 88.6% of territory despite a major battlefield shift, and economic pressures (GDP down 11.3%) are severe but not yet catastrophic, with sanctions on Novaris at 68% providing some counterbalance. International support at 34% and Meridian's coalition building suggest sustained backing, but the deepfake information warfare and high crisis level introduce instability risks that keep the probability non-negligible.",
scenario_003,persona_baseline,1,simplified_274,dovish,56,40,89,43,1.0,0.15,"Tethys retains 88.6% of its territory with a resilient military position (balance -0.21), indicating successful defense against initial Novaris pressure. My economic analysis sees moderate GDP decline (-11.3%) offset by strong sanctions on Novaris (68%) and critical pipeline leverage, creating sustainable economic deterrence. Diplomatic momentum favors Tethys, with major powers coordinating support, making government collapse unlikely in this period despite heightened tensions.",
scenario_003,persona_baseline,6,simplified_206,hawkish,58,75,66,66,1.0,0.12,"Military analysis shows Tethys retains significant asymmetric capabilities and defender's advantage despite territorial losses (-0.21 military balance indicates manageable Novaris advantage). Economic assessment reveals Tethys GDP dropped 11% but retains functional economic base, while international support at 34% and sanctions at 68% create substantial pressure on Novaris. Geopolitical evaluation suggests Meridian's coalition-building and strong international sanctions provide critical deterrence against Novaris achieving decisive victory necessary for government collapse.",
scenario_003,persona_baseline,0,simplified_165,hawkish,60,77,76,48,1.0,0.25,"Tethys has lost over 11% of its territory, indicating Novaris has achieved significant battlefield gains likely through the reported major territorial shift; however, the military balance (-0.21) remains only slightly favorable to Novaris, and Tethys's asymmetric capabilities, strong international sanctions (68%) against Novaris, and Meridian's coalition building likely provide a robust defense against a decisive collapse this period. While economic pressures are mounting with a 12% GDP drop and global wheat price surge, the government's survival imperative, active external support, and Novaris's own economic vulnerabilities (14% GDP decline) suggest a forced capitulation remains improbable in the near term, though the situation is highly volatile.",
scenario_003,persona_baseline,3,simplified_142,hawkish,45,95,39,66,1.0,0.35,"The 11.4% territorial loss indicates Novaris has achieved significant battlefield gains, likely through combined arms operations given the major power's involvement. While Tethys retains strong asymmetric capabilities and international sanctions are intensifying, sustained territorial erosion at this rate would critically undermine governing legitimacy. However, Tethys's intact military capabilities and Meridian's coalition-building suggest continued resistance, making immediate government collapse unlikely but increasingly plausible if momentum isn't reversed.",
scenario_003,persona_baseline,9,simplified_126,pragmatic,43,49,82,87,1.0,0.12,"Tethys's government collapse probability remains low due to significant defensive resilience and international backing. The minor territorial loss (11.4%) and economic dip are manageable, while enhanced sanctions on Novaris and growing diplomatic support provide strategic buffers. However, the crisis level at maximum and active proxy/cyber conflict introduce destabilizing uncertainty that prevents full confidence.",
scenario_003,persona_baseline,5,simplified_335,hawkish,27,63,75,72,1.0,0.12,"Tethys retains strong defensive viability with 88.6% territory, asymmetric capabilities indicated by the military balance of -0.21, and significant international sanctions backing at 68%, making full collapse unlikely despite Novaris's conventional advantage and economic pressures.",
scenario_003,persona_baseline,7,simplified_137,dovish,11,58,67,50,1.0,0.15,"Tethys retains 88.6% of its territory, has significant asymmetric military capabilities, and enjoys substantial and growing international support (34% and Meridian coalition building). The strong economic sanctions on Novaris (68%) and mutual energy interdependence create significant costs for aggression, while Tethys's GDP decline is moderate (-11.3%) and manageable in the short term, reducing internal collapse pressure. The high crisis level is a serious escalatory signal, but Tethys's defensive position, international backing, and Novaris's own economic vulnerabilities make a complete government collapse in this period unlikely.",
scenario_003,persona_baseline,8,simplified_258,pragmatic,24,90,86,40,1.0,0.12,"Tethys retains 88.6% of its territory despite major battlefield gains by Novaris, indicating a resilient conventional defense supported by its asymmetric capabilities and defender's advantage. The modest 11% GDP decline from sanctions and fighting suggests economic sustainability in the short term, while sustained international support and sanctions pressure on Novaris create significant costs for further escalation. Government collapse remains unlikely in Period 1 absent a catastrophic military breakthrough by Novaris, but the volatile crisis level warrants caution.",
scenario_003,persona_shard,3,simplified_409,pragmatic,73,39,81,62,0.8770086556546799,0.15,"The probability of Tethys government collapse remains low based on economic analysis: Tethys retains 88.6% territory despite battlefield shifts, and while GDP declined 11.3%, Novaris suffered greater losses (14.4%) due to financial sector sanctions. Despite military disadvantage (-0.21), Tethys maintains asymmetric deterrent capability and critical economic leverage through energy transit pipelines, while international coalition building provides diplomatic resilience against Novaris advances.",
scenario_003,persona_shard,1,simplified_157,pragmatic,100,31,65,78,0.6845122047460701,0.15,"Tethys maintains a defensive advantage with asymmetric capabilities, and economic pressures are moderate with mutual dependence on energy pipelines. However, deepfake misinformation and Meridian's coalition-building enhance stability, making collapse unlikely in the short term despite high crisis levels.",
scenario_003,persona_shard,2,simplified_190,hawkish,53,84,22,44,0.9257749448075072,0.24,"Applying military-strategic analysis: while Tethys has lost 11.4% territory, the military balance remains near parity (-0.21), indicating its asymmetric capabilities are preventing decisive Novarian breakthroughs. The high crisis level (10/10) and growing sanctions (68%) impose severe pressure, but strong international support dynamics, including Meridian's coalition building and Tethys's GDP holding at 88.7% of baseline, suggest the government retains both the will and capacity to continue organized resistance. My hawkish orientation views the current territorial loss as an expected initial setback in a defensive war, not a collapse trigger at this stage.",
scenario_003,persona_shard,6,simplified_220,dovish,62,38,44,77,0.09918451520571875,0.3,"While the loss of the southern coastal region is a significant military and economic blow, Tethys's government retains core territory and defensive mobilization. Diplomatic engagement with Meridian, despite political constraints, provides a stabilizing external lifeline, making immediate, decisive collapse unlikely within Period 1. My dovish orientation leads me to weigh these diplomatic and defensive factors more heavily than immediate territorial setbacks.",
scenario_003,persona_shard,5,simplified_253,pragmatic,44,23,86,70,0.36178090956076353,0.12,"From an economic perspective, Tethys appears resilient with solid GDP growth (3.8%) and manageable inflation despite Novaris's sanctions, suggesting the government retains fiscal capacity. Geopolitically, substantial international support is coalescing around Tethys with Meridian's security commitment and growing diplomatic momentum, while military positions are roughly matched with Novaris's offensive stalling, making immediate collapse unlikely barring a major escalation.",
scenario_003,persona_shard,4,simplified_046,pragmatic,56,87,23,61,0.3754433423546703,0.32,"Applying military strategy expertise, Tethys's position appears unsustainable but not immediately critical: no territory has been seized, but Novaris's mobilization of 40% of its forces adjacent to Tethys—including amphibious assault exercises—poses a severe threat requiring constant high alert. The reaffirmed security commitment from Meridian provides a deterrent, but not a guarantee, against an immediate Novarian invasion. From my geopolitical and limited economic analysis, Tethys's GDP contraction (-15.4%) and potential energy cutoffs create significant pressure, but the current international diplomatic engagement and humanitarian corridors suggest a path exists for de-escalation before economic or military collapse forces a change in government.",
scenario_003,persona_shard,7,simplified_400,pragmatic,25,93,20,69,0.5732463043212342,0.08,"From a military strategy perspective, Tethys maintains strong territorial integrity (88.6%) and possesses credible asymmetric capabilities, making a sudden collapse from direct military defeat unlikely. The international sanctions regime (68%) and coordinated, if cautious, external support indicate Novaris's offensive is encountering significant strategic costs, while the high crisis level suggests intense pressure but not yet a decisive breakthrough. My pragmatic assessment, factoring in Tethys's defensive posture and Novaris's economic vulnerabilities, points to a low near-term probability of government collapse, barring a major unforeseen shock.",
scenario_003,persona_shard,0,simplified_178,pragmatic,39,38,90,54,0.2350558378500905,0.15,"Tethys's significant asymmetric capabilities and control of critical energy transit provide strong economic leverage and resilience against military pressure, while its GDP trajectory suggests manageable economic stress. The high crisis level and mobilization present clear risks, but the scenario lacks decisive indicators of imminent internal collapse, such as widespread economic failure or loss of territorial control; my pragmatic, moderate-low risk tolerance leads to a low, calibrated estimate favoring Tethys's relative stability based on current evidence.",
scenario_003,persona_shard,8,simplified_002,hawkish,22,63,51,68,0.4329865757554032,0.15,"Tethys retains significant territorial control (88.6%) and asymmetric capabilities, while the military balance is not decisively tilted toward Novaris. The moderate but not critical economic pressures and the explicit, though constrained, security commitment from Meridian provide stabilizing factors. However, Novaris's military advantage, international pressure favoring Tethys's sovereignty, and the highly volatile status quo create a non-negligible, low probability path to collapse, primarily through military defeat in a protracted conflict.",
scenario_003,persona_shard,9,simplified_163,dovish,35,32,82,61,0.892945173669139,0.22,"Economic pressures from a 11% GDP decline and rising wheat prices are significant, but Tethys retains defensive military parity and high international support with 68% sanctions on Novaris, making immediate government collapse unlikely; a protracted stalemate is the most probable near-term outcome.",
scenario_004,persona_baseline,1,simplified_107,dovish,26,63,72,60,1.0,0.3,"Tethys has suffered significant territorial loss (33.2%) and economic damage (-34.7% GDP), but maintains defensive advantages, receives military aid, and enjoys growing international support; while precarious, government collapse is not imminent given asymmetric capabilities and diplomatic momentum.",
scenario_004,persona_baseline,0,simplified_428,pragmatic,41,60,54,59,1.0,0.15,"Tethys retains 66.8% territory and strong asymmetric capabilities, with military balance showing only slight Novaris advantage (-0.14). While Tethys GDP has declined to $19.6B from baseline $30B, international support at 50% and coalition military aid provide substantial reinforcement against collapse. The current crisis level (7/10) suggests escalation but not imminent regime failure given defensive advantages and external backing.",
scenario_004,persona_baseline,3,simplified_048,hawkish,56,80,33,83,1.0,0.12,"Tethys maintains strong defensive positions with 66.8% territory, favorable military balance (-0.14 indicates Novaris holds only marginal advantage), and critical international support. While the economic strain is significant, asymmetric capabilities and pipeline leverage provide deterrent value. External military aid and continued diplomatic support from Meridian create a credible defensive posture that makes collapse unlikely absent a major military breakthrough by Novaris.",
scenario_004,persona_baseline,5,simplified_149,pragmatic,56,51,54,58,1.0,0.35,"Tethys has lost significant territory and GDP, but strong external military aid and moderate international support provide a buffer against immediate collapse. However, Novaris's sustained military pressure and economic warfare create substantial strain, making government stability precarious but not yet terminal.",
scenario_004,persona_baseline,4,simplified_291,pragmatic,29,90,76,47,1.0,0.17,"From a military strategy perspective, Tethys retains 66.8% of its territory and maintains a battlefield balance of -0.14 (only slight disadvantage), indicating effective defensive operations and force preservation despite Novaris's territorial gains. Economically, while Tethys's GDP has declined by 35%, the provision of military aid from allies and continued international support at 50% provides critical lifelines to sustain resistance. The crisis level at 7/10 shows escalating pressure, but Tethys's asymmetric capabilities, ongoing Meridian coalition building, and lack of catastrophic territorial collapse suggest the government retains sufficient capacity to continue organized defense without imminent regime failure.",
scenario_004,persona_baseline,8,simplified_079,dovish,67,22,56,86,1.0,0.18,"While Tethys has lost significant territory (33.2%) and faces economic strain, its government remains intact with strong international support and asymmetric defensive capabilities. The defender military aid and coalition-building efforts provide crucial resilience, while Novaris faces growing sanctions and international pressure that make complete victory unlikely in the short term.",
scenario_004,persona_baseline,6,simplified_131,pragmatic,48,74,73,71,1.0,0.15,"While Tethys has lost significant territory (down to 66.8%) and its GDP has contracted substantially, the military aid from allies and its asymmetric capabilities likely offset Novaris's limited advances, preventing a decisive defeat. International support remains substantial, and the economic pressure is not yet severe enough to collapse the government internally; the defender's strong motivation and external backing reduce immediate collapse risk.",
scenario_004,persona_baseline,7,simplified_230,dovish,35,59,55,54,1.0,0.24,"Tethys's government retains significant defensive capacity with moderate territorial loss (66.8% remaining), strong asymmetric capabilities, and substantial, growing international support mitigating military pressure. While its economy is strained (GDP -33%), a mobilized defense, ongoing allied aid, and a high crisis level indicate sustained resistance, not imminent collapse, favoring a dovish, de-escalatory forecast with low-moderate risk tolerance.",
scenario_004,persona_baseline,2,simplified_406,dovish,0,28,47,89,1.0,0.18,"The significant loss of territory (33.2%) and severe GDP contraction due to the conflict are serious threats, but these are tempered by the substantial international military aid received, which should bolster defensive capabilities and morale. As a dovish analyst, I assess the active diplomatic efforts and strong international support as powerful stabilizing forces that make a full government collapse, requiring removal from power, still relatively unlikely in this phase.",
