"scenario_id","period","collapse_probability","novaris_actions","tethys_actions","n_novaris_actions","n_tethys_actions","final_territory","final_military_balance","final_crisis_level","final_sanctions","final_support"
"scenario_011",1,0.5575,"limited_strike|naval_deployment|cyber_defense|counterintelligence|intelligence_gathering|targeted_sanctions|asset_seizure","show_of_force|enhanced_patrols|military_exercises|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|asset_seizure|trade_negotiation|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",7,12,0.104787752094925,-0.327692275634035,10,0.523296417291348,0.614304515998811
"scenario_012",1,0.557,"naval_demonstration|air_patrols|cyber_defense|information_campaign|enhanced_intelligence_gathering|targeted_sanctions|trade_restrictions|trade_restrictions","naval_demonstration|military_exercises|reconnaissance|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|asset_seizure|trade_restrictions|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",8,12,0.10962833221392,-0.0418178843101487,9.96641230118345,0.363538709934801,0.681287299543619
"scenario_013",1,0.541,"limited_strike|naval_deployment|cyber_attack|sabotage|war_bonds|trade_negotiation|economic_warfare","defensive_fortification|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|war_bonds|trade_negotiation|economic_aid_request|formal_multilateral_engagement|coalition_building|international_observers",7,11,0.129689321340993,-0.134186422615312,10,0.67392918150872,0.785405533825979
"scenario_014",1,0.5715,"limited_strike|naval_deployment|cyber_attack|sabotage|war_bonds|currency_manipulation|trade_restrictions","defensive_fortification|enhanced_patrols|reconnaissance|counterintelligence|cyber_defense|share_intelligence|war_bonds|trade_negotiation|coalition_building|formal_multilateral_engagement|international_observers",7,11,0.405312366097375,-0.101025733417044,9.97503847035812,0.781537659431342,0.718360082661384
"scenario_015",1,0.6015,"limited_strike|naval_deployment|cyber_attack|sabotage|targeted_sanctions|asset_seizure|economic_sanctions","defensive_fortification|enhanced_patrols|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|targeted_sanctions|economic_sanctions|economic_sanctions|humanitarian_corridors|coalition_building|peace_talks",7,12,0.116052893316373,-0.302774214255624,10,0.715342900911953,0.644155224924907
"scenario_016",1,0.569,"limited_strike|naval_deployment|cyber_attack|sabotage|targeted_sanctions|asset_seizure","show_of_force|naval_demonstration|reconnaissance|cyber_defense|counterintelligence|share_intelligence|targeted_sanctions|trade_negotiation|humanitarian_corridors|coalition_building|mediation_offer",6,11,0.24670559191145,-0.146422139625065,10,0.514094644226134,0.7296230629622
"scenario_017",1,0.5585,"limited_strike|naval_deployment|cyber_defense|information_campaign|counterintelligence|targeted_sanctions|asset_seizure","show_of_force|naval_demonstration|reconnaissance|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|economic_aid_to_allies|war_bonds|formal_multilateral_engagement|coalition_building|international_observers",7,12,0.129814410489053,-0.145950746559538,9.85564369680826,0.374440862704068,0.719161348999478
"scenario_018",1,0.7675,"show_of_force|air_patrols|troop_movements|counterintelligence|share_intelligence|information_campaign|targeted_sanctions|asset_seizure|currency_manipulation","show_of_force|air_patrols|reconnaissance|counterintelligence|share_intelligence|information_campaign|targeted_sanctions|trade_restrictions|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",9,11,0.239084540377289,-0.138871875565033,9.13898705226369,0.456871382799,0.518738562706858
"scenario_019",1,0.4925,"limited_strike|naval_deployment|cyber_defense|counterintelligence|information_campaign|trade_negotiation|financial_aid|strategic_stockpiling","naval_demonstration|military_exercises|cyber_defense|counterintelligence|trade_negotiation|financial_aid|strategic_stockpiling|diplomatic_visit|backchannel_negotiations|humanitarian_corridors",8,10,0.0398335365881212,-0.196305416366784,10,0.100095558632165,0.448197779571638
"scenario_020",1,0.5715,"limited_strike|naval_deployment|cyber_attack|sabotage|war_bonds|currency_manipulation|trade_negotiation","defensive_fortification|enhanced_patrols|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|war_bonds|trade_negotiation|humanitarian_corridors|coalition_building|peace_talks",7,11,0.286758863670518,-0.146132775134174,9.63961172554409,0.606434298877139,0.599045818723971
"scenario_021",1,0.4685,"show_of_force|naval_demonstration|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|resource_embargo|targeted_sanctions|economic_sanctions","show_of_force|naval_demonstration|reconnaissance|economic_sanctions|targeted_sanctions|trade_negotiation|humanitarian_corridors|coalition_building|prisoner_exchange",9,9,0.015572878473904,0.106574755403446,9.92547025768552,0.307263535304926,0.655597502350574
"scenario_022",1,0.55,"show_of_force|naval_demonstration|cyber_defense|counterintelligence|targeted_sanctions|asset_seizure","show_of_force|reconnaissance|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|war_bonds|coalition_building|formal_multilateral_engagement|international_observers",6,10,0.0438187239598483,-0.00604415934067221,10,0.47025789944455,0.749457307049306
"scenario_023",1,0.615,"show_of_force|military_exercises|reconnaissance|cyber_defense|counterintelligence|information_campaign|war_bonds|trade_negotiation|trade_restrictions","show_of_force|enhanced_patrols|reconnaissance|cyber_defense|counterintelligence|information_campaign|war_bonds|trade_negotiation|diplomatic_visit|backchannel_negotiations|humanitarian_aid",9,11,0.110801487453976,-0.0412807786799021,8,0.651371618919074,0.549549381260295
"scenario_024",1,0.652,"show_of_force|naval_demonstration|reconnaissance|information_campaign|cyber_defense|counterintelligence|resource_embargo|targeted_sanctions|trade_negotiation","naval_demonstration|reconnaissance|cyber_defense|information_campaign|counterintelligence|targeted_sanctions|targeted_sanctions|trade_negotiation|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",9,11,0.0211519435211085,-0.0319001761265099,10,0.250801277998835,0.624711457379162
"scenario_025",1,0.6255,"limited_strike|naval_deployment|cyber_defense|counterintelligence|targeted_sanctions|currency_manipulation|resource_embargo","defensive_reinforcements|defensive_fortification|enhanced_patrols|cyber_defense|counterintelligence|intelligence_gathering|targeted_sanctions|currency_manipulation|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",7,11,0.305873632291332,-0.408480843792902,10,0.378797795251012,0.668108545150608
"scenario_026",1,0.455,"limited_strike|naval_deployment|enhanced_intelligence_gathering|surveillance_operation|counterintelligence|targeted_sanctions|asset_seizure","naval_demonstration|military_exercises|enhanced_patrols|enhanced_surveillance|surveillance_operation|share_intelligence|targeted_sanctions|trade_negotiation|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",7,11,0.0562842975230887,-0.157401859007776,10,0.276428052967567,0.643298362288624
"scenario_027",1,0.6095,"naval_demonstration|show_of_force|counterintelligence|share_intelligence|information_campaign|targeted_sanctions|asset_seizure|currency_manipulation","show_of_force|air_patrols|counterintelligence|share_intelligence|intelligence_gathering|targeted_sanctions|trade_negotiation|diplomatic_visit|backchannel_negotiations|humanitarian_corridors",8,10,0.276676701493117,-0.112447851570323,10,0.431002408824861,0.517229868769646
"scenario_028",1,0.5585,"show_of_force|naval_demonstration|reconnaissance|information_campaign|counterintelligence|cyber_defense|trade_negotiation|strategic_stockpiling","show_of_force|naval_demonstration|reconnaissance|cyber_defense|counterintelligence|information_campaign|trade_negotiation|strategic_stockpiling|strategic_stockpiling|diplomatic_visit|backchannel_negotiations|humanitarian_corridors",8,12,0.022097649439238,0.0934679285157472,9.19647847013548,0.117061040131375,0.415318623553612
"scenario_029",1,0.4955,"show_of_force|reconnaissance|military_exercises|information_campaign|counterintelligence|enhanced_intelligence_gathering|targeted_sanctions|asset_seizure|currency_manipulation","show_of_force|enhanced_patrols|reconnaissance|cyber_defense|counterintelligence|intelligence_gathering|targeted_sanctions|financial_aid|public_diplomatic_initiative|formal_multilateral_engagement",9,10,0.0552867431574581,-0.0221957979563902,7.11316054255702,0.473213650938124,0.635578011460602
"scenario_030",1,0.5665,"limited_strike|naval_deployment|cyber_attack|sabotage|targeted_sanctions|resource_embargo|trade_diversification","defensive_fortification|enhanced_patrols|reconnaissance|counterintelligence|cyber_defense|share_intelligence|targeted_sanctions|resource_embargo|currency_manipulation|formal_multilateral_engagement|coalition_building|international_observers",7,12,0.379975167522207,-0.326075155549217,9.93539054460358,0.555657833616715,0.768431386956945
"scenario_031",1,0.549,"limited_strike|naval_deployment|cyber_attack|sabotage|war_bonds|resource_stockpiling","defensive_fortification|enhanced_patrols|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|war_bonds|trade_negotiation|formal_multilateral_engagement|coalition_building|international_observers",6,11,0.428543718764558,-0.376297755818814,10,0.647482447640505,0.88216946341563
"scenario_032",1,0.3915,"limited_strike|naval_deployment|cyber_attack|sabotage|targeted_sanctions|asset_seizure|trade_restrictions","defensive_fortification|defensive_reinforcements|reconnaissance|counterintelligence|cyber_defense|share_intelligence|targeted_sanctions|economic_aid_to_tethys|trade_negotiation|formal_multilateral_engagement|coalition_building|international_observers",7,12,0.104241045502605,-0.232542326883413,10,0.480754597764462,0.788637792225927
"scenario_033",1,0.5175,"show_of_force|naval_demonstration|reconnaissance|cyber_defense|information_campaign|trade_negotiation|financial_aid","show_of_force|reconnaissance|cyber_defense|counterintelligence|information_campaign|trade_negotiation|strategic_stockpiling|diplomatic_visit|backchannel_negotiations|humanitarian_aid",7,10,0.0192523655667901,-0.0613121532369405,7.9776845099288,0.0247312674298882,0.301579335518181
"scenario_034",1,0.5235,"show_of_force|military_exercises|reconnaissance|cyber_defense|information_campaign|counterintelligence|resource_embargo|targeted_sanctions|trade_negotiation","show_of_force|military_exercises|reconnaissance|cyber_defense|counterintelligence|information_campaign|economic_sanctions|targeted_sanctions|trade_negotiation|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",9,12,0.0112002768550696,0.089859994512517,10,0.0616130503173918,0.624422056507319
"scenario_035",1,0.5645,"show_of_force|military_exercises|reconnaissance|enhanced_surveillance|counterintelligence|share_intelligence|economic_sanctions|financial_aid|strategic_stockpiling","show_of_force|enhanced_patrols|reconnaissance|enhanced_intelligence_gathering|surveillance_operation|share_intelligence|trade_negotiation|strategic_stockpiling|diplomatic_visit|backchannel_negotiations|humanitarian_corridors",9,11,0.041866705366685,0.046266678076331,7.09578862336464,0.446667518676259,0.535243313126266
"scenario_036",1,0.6445,"limited_strike|naval_deployment|enhanced_intelligence_gathering|surveillance_operation|counterintelligence|resource_embargo|targeted_sanctions","defensive_fortification|enhanced_patrols|reconnaissance|enhanced_intelligence_gathering|surveillance_operation|share_intelligence|economic_sanctions|targeted_sanctions|trade_negotiation|public_diplomatic_initiative|formal_multilateral_engagement",7,11,0.0805519317113794,-0.341574150347151,10,0.236228793367743,0.695942111685872
"scenario_037",1,0.492,"limited_strike|naval_deployment|cyber_defense|counterintelligence|war_bonds|trade_negotiation","show_of_force|reconnaissance|naval_demonstration|cyber_defense|counterintelligence|information_campaign|war_bonds|trade_negotiation|economic_aid_to_allies|formal_multilateral_engagement|coalition_building|international_observers",6,12,0.0841992781031877,-0.173066608654335,9.74181451002369,0.672241954505444,0.852200298495591
"scenario_038",1,0.6225,"limited_strike|naval_deployment|cyber_attack|sabotage|targeted_sanctions|resource_embargo","defensive_fortification|defensive_reinforcements|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|targeted_sanctions|currency_manipulation|humanitarian_corridors|coalition_building|peace_talks",6,11,0.364927466865629,-0.357883679866791,10,0.530303210613783,0.64784095636569
"scenario_039",1,0.5035,"limited_strike|naval_deployment|cyber_attack|sabotage|resource_embargo|targeted_sanctions|trade_negotiation","show_of_force|naval_demonstration|cyber_defense|counterintelligence|share_intelligence|economic_sanctions|targeted_sanctions|resource_embargo|humanitarian_corridors|coalition_building|peace_talks",7,11,0.0249134287820198,-0.123371352697723,10,0.304000469767489,0.524067891761661
"scenario_040",1,0.4965,"limited_strike|naval_deployment|cyber_defense|counterintelligence|information_campaign|trade_negotiation|strategic_stockpiling","show_of_force|reconnaissance|cyber_defense|counterintelligence|information_campaign|trade_negotiation|financial_aid|strategic_stockpiling|diplomatic_visit|backchannel_negotiations|humanitarian_corridors",7,11,0,-0.0683734108810313,9.5351242023753,0.271721439273097,0.333063589129597
"scenario_041",1,0.575,"limited_strike|naval_deployment|cyber_attack|sabotage|war_bonds|trade_negotiation|currency_manipulation","defensive_fortification|enhanced_patrols|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|war_bonds|trade_negotiation|formal_multilateral_engagement|coalition_building|international_observers",7,11,0.340262170042843,-0.281090094227809,10,0.819217892787144,0.764886124036275
"scenario_042",1,0.5645,"limited_strike|naval_deployment|cyber_defense|counterintelligence|trade_negotiation|financial_aid|strategic_stockpiling","show_of_force|reconnaissance|air_patrols|cyber_defense|counterintelligence|information_campaign|trade_negotiation|financial_aid|economic_aid|diplomatic_visit|backchannel_negotiations|humanitarian_corridors",7,12,0.0451469790539704,-0.160242923535407,9.62723535601981,0.183427982777357,0.486626924388111
"scenario_043",1,0.5525,"limited_strike|naval_deployment|cyber_attack|sabotage|targeted_sanctions|currency_manipulation|resource_embargo","defensive_fortification|enhanced_patrols|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|targeted_sanctions|financial_support_allies|humanitarian_corridors|peace_talks|coalition_building",7,11,0.262189949257299,-0.16155969123356,9.63159721082775,0.506141913670581,0.743417581655085
"scenario_044",1,0.579,"limited_strike|naval_deployment|cyber_attack|sabotage|war_bonds|resource_embargo|currency_manipulation","defensive_fortification|enhanced_patrols|counterintelligence|cyber_defense|signals_intelligence|war_bonds|trade_negotiation|humanitarian_corridors|coalition_building|peace_talks",7,10,0.358403188176453,-0.240577637093142,10,0.622887422749773,0.570291045727208
"scenario_045",1,0.579,"limited_strike|naval_deployment|cyber_defense|information_campaign|counterintelligence|targeted_sanctions|asset_seizure","show_of_force|air_patrols|reconnaissance|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|economic_aid|trade_restrictions|diplomatic_visit|backchannel_negotiations|humanitarian_corridors",7,12,0.0301099387952127,-0.173695407633204,10,0.347663696017116,0.51549927811604
"scenario_046",1,0.5775,"show_of_force|naval_demonstration|reconnaissance|enhanced_intelligence_gathering|surveillance_operation|covert_operation|targeted_sanctions|asset_seizure","show_of_force|naval_demonstration|reconnaissance|enhanced_intelligence_gathering|surveillance_operation|share_intelligence|targeted_sanctions|trade_negotiation|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",8,11,0.0874713423196226,-0.0554217609576881,9.84314545830945,0.324154235981405,0.614446825412801
"scenario_047",1,0.5585,"show_of_force|air_patrols|reconnaissance|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|currency_manipulation","show_of_force|enhanced_patrols|reconnaissance|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|asset_seizure|financial_aid|formal_multilateral_engagement|coalition_building|international_observers",8,12,0.0803549086372368,-0.0286573749792297,10,0.39363772040233,0.895474120137515
"scenario_048",1,0.5245,"limited_strike|naval_deployment|cyber_defense|counterintelligence|targeted_sanctions|asset_seizure","defensive_fortification|enhanced_patrols|reconnaissance|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|economic_aid_to_allies|trade_negotiation|formal_multilateral_engagement|coalition_building|international_observers",6,12,0.13417801011304,-0.289519939094316,9.70080030163517,0.346469868160784,0.778038942173589
"scenario_049",1,0.5375,"show_of_force|military_exercises|reconnaissance|cyber_defense|counterintelligence|resource_embargo|targeted_sanctions|trade_negotiation","show_of_force|air_patrols|cyber_defense|information_campaign|counterintelligence|resource_embargo|targeted_sanctions|trade_negotiation|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",8,11,0.0274441813048907,-0.0494647411741316,9.6342088834336,0.271209416189231,0.595038247108459
"scenario_050",1,0.6835,"limited_strike|naval_deployment|cyber_attack|sabotage|war_bonds|trade_negotiation","defensive_fortification|enhanced_patrols|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|war_bonds|trade_negotiation|formal_multilateral_engagement|coalition_building|international_observers",6,11,0.359485215647146,-0.385495966975577,9.67348474743776,0.694105052179657,0.699781864113174
