scenario_id,condition,agent_id,framework_name,method,lens,focus,bias,model,information_fraction,probability,confidence,rationale,fallback_type
scenario_002,framework_baseline,2,scenario_tree,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The calculated probability of Tethys's government collapse is driven by the volatile military situation, economic pressure, and international diplomatic efforts. Scenarios such as 'Full Invasion' and 'Economic Capitulation' contribute significantly to the collapse probability, while 'Negotiated Settlement' and 'Frozen Conflict' reduce it. The overall probability reflects a balance between these competing factors.",
scenario_002,framework_baseline,6,trend,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.23,medium,"Tethys's government collapse probability is driven by the deteriorating trend in its territory control, down to 62.5%, and the significant drop in GDP to $19.2B, indicating substantial economic strain. However, the stabilization of the simulated frontline and the proposed peace frameworks suggest some deceleration in the crisis escalation, mitigating the immediate risk of collapse.",
scenario_002,framework_baseline,7,structural,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.23,medium,"Tethys's government collapse probability is driven by its robust institutional resilience, defensive geographic advantages, and significant international support, which collectively mitigate the impact of Novaris's military and economic pressure, despite sanctions and cyber incidents weakening its economic fundamentals.",
scenario_002,framework_baseline,8,game_theoretic,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The current military balance and economic sanctions suggest Novaris has significant leverage, but Tethys's asymmetric capabilities and international support provide a strong deterrent against outright invasion, making a government collapse less likely. The recent diplomatic developments, including the peace initiative and backchannel negotiations, also indicate a potential pathway for de-escalation. However, the ongoing cyber incidents and battlefield developments introduce uncertainty and risk of miscalculation.",
scenario_002,framework_baseline,4,worst_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.81,high,"The combination of Novaris's significant military mobilization, the recent cyber attack on Tethys's telecommunications infrastructure, and the potential for economic collapse due to trade restrictions and sanctions pose a substantial threat to Tethys's government stability, increasing the likelihood of collapse or removal from power by the end of Period 1.",
scenario_002,framework_baseline,0,base_rate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The historical base rate for government collapse under great-power pressure is around 40%, but Tethys's strong international support, asymmetric military capabilities, and control of critical energy transit pipelines reduce this likelihood, while Novaris's military superiority, economic coercion, and potential for internal divisions within Tethys increase it, leading to an adjusted estimate of 0.32.",
scenario_002,framework_baseline,5,best_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.12,high,"Tethys's government benefits from strong international support, a resilient economy, and effective asymmetric military capabilities, which together deter Novaris's aggression and reduce the likelihood of collapse. The proposed peace framework and backchannel negotiations also offer a potential path to de-escalation. Additionally, Tethys's control of critical energy transit pipelines provides leverage against Novaris, further stabilizing the situation.",
scenario_002,framework_baseline,1,key_indicator,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.23,medium,"The key indicator of 'Tethys Territory Remaining' at 62.5% suggests that while Tethys has lost significant territory, it still maintains control over a sizable portion, indicating a relatively stable position. Secondary factors such as international support and economic sanctions on Novaris reinforce this stance, though the cyber incident and defensive advantages of Novaris introduce uncertainties. Overall, the current territorial control and international dynamics suggest a low to moderate risk of government collapse.",
scenario_002,framework_baseline,9,devils_advocate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.81,high,"Despite the conventional view that Tethys's strong international support and asymmetric military capabilities will prevent government collapse, I argue that Novaris's economic coercion, combined with the potential for internal divisions within Tethys and the limitations of Meridian's security commitment, create a high risk of collapse. The recent cyber incident and simulated frontline stabilization may also indicate Novaris's increasing ability to disrupt Tethys's defensive advantages. These factors, underweighted by the conventional view, suggest a higher-than-expected probability of government collapse in Tethys.",
scenario_003,framework_baseline,2,scenario_tree,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.421,medium,"The calculated probability of 0.421 is driven by the weighted sum of scenario probabilities, considering factors such as military balance, economic sanctions, international support, and potential for diplomatic resolution, reflecting a complex and volatile situation with multiple potential paths forward.",
scenario_003,framework_baseline,5,best_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.12,high,"Tethys's strong international support, asymmetric military capabilities, and control of critical energy transit pipelines provide significant buffers against Novaris's aggression, while Meridian's security commitment and the International Organization's humanitarian efforts further reinforce Tethys's position, making a government collapse unlikely in the short term.",
scenario_003,framework_baseline,3,historical_analogy,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The historical analogy of the Finnish-Soviet War (1939-1940) suggests a low to moderate probability of Tethys's government collapse, as Finland maintained its independence despite being outgunned. However, differences such as the stronger international support for Tethys and the more pronounced economic dependence between Novaris and Tethys adjust this estimate, making collapse slightly more likely than in the historical case.",
scenario_003,framework_baseline,1,key_indicator,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.21,medium,"The key indicator selected is the 'Tethys Territory Remaining' at 88.6%, indicating a relatively stable territorial control despite the crisis. This, combined with strong international support and moderate sanctions on Novaris, suggests a low probability of immediate government collapse. The military balance and economic factors also support this assessment, with Tethys maintaining a defensive advantage and Novaris facing significant economic pressures.",
scenario_003,framework_baseline,0,base_rate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The base rate of government collapse in similar crises is estimated at 35%, considering great-power pressure campaigns against smaller states. Adjustments for the high level of international support for Tethys, its significant asymmetric military capabilities, and the economic costs to Novaris reduce the probability, while the military mobilization, economic coercion, and cyber operations by Novaris increase it. The final estimate reflects these balanced factors.",
scenario_003,framework_baseline,6,trend,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The deteriorating trend in Tethys's territory control, coupled with the accelerating economic pressure from sanctions and the surge in wheat prices, increases the likelihood of government collapse. However, Tethys's asymmetric military capabilities and strong international support act as stabilizing factors, preventing a higher probability estimate. The trajectory of these variables suggests a moderate risk of collapse by the end of Period 1.",
scenario_003,framework_baseline,4,worst_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.83,medium,"The combination of Novaris's significant military mobilization, growing economic pressure from sanctions, and potential for compounded negative developments such as a major battlefield shift or successful information warfare campaign, threatens Tethys's government stability. Despite international support and asymmetric military capabilities, the worst-case scenario suggests a high likelihood of collapse due to the cumulative effect of these pressures. The precarious balance of power and escalating crisis level further exacerbate the risk of government collapse.",
scenario_003,framework_baseline,7,structural,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"Tethys's government collapse probability is driven by its robust institutional resilience, geographic defensive advantages, and significant international support, which collectively mitigate the impact of Novaris's military and economic pressures. However, the surge in wheat prices and potential for deepfake information warfare could exert additional pressure on Tethys's economy and leadership. The current military balance and sanctions on Novaris suggest a protracted conflict, which Tethys might endure due to its asymmetric capabilities and territorial advantages.",
scenario_003,framework_baseline,8,game_theoretic,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The probability of Tethys's government collapse is driven by the military balance, economic pressures, and international support. Despite Novaris's numerical advantage, Tethys's asymmetric capabilities and defensive position reduce the likelihood of immediate military defeat. However, the escalating economic sanctions and potential for internal destabilization due to the deepfake video controversy contribute to the risk of government collapse.",
scenario_003,framework_baseline,9,devils_advocate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.81,medium,"Despite conventional expectations of Tethys's resilience due to international support and asymmetric capabilities, the significant economic strain from the crisis, the potential for internal divisions within Tethys, and the underappreciated determination of Novaris to achieve reunification goals suggest a higher likelihood of government collapse. The recent surge in wheat prices and the informational warfare tactics, such as the deepfake video, could further destabilize Tethys. Additionally, the military balance, though slightly in favor of Novaris, and the ongoing sanctions that affect both economies, indicate a complex situation where Tethys's government might face insurmountable challenges.",
scenario_004,framework_baseline,3,historical_analogy,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The historical analogy of the Georgian-Russian conflict in 2008 suggests a low to moderate likelihood of Tethys's government collapse, as the international community's support and the defender's asymmetric capabilities provide significant drawbacks to Novaris's aggression, yet the economic sanctions and military pressure could still destabilize Tethys's government.",
scenario_004,framework_baseline,5,best_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.12,high,"Tethys's strong international support, asymmetric military capabilities, and control of critical energy transit pipelines provide significant buffers against Novaris's aggression, while Meridian's security commitment and the International Organization's humanitarian efforts further bolster Tethys's position, making government collapse unlikely in the short term.",
scenario_004,framework_baseline,2,scenario_tree,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The moderate probability of government collapse in Tethys is driven by the escalating military situation, significant economic pressure, and the complex international diplomatic landscape, where the actions of Meridian, Valkoria, and Aurelia can significantly influence the outcome, but the defending capabilities of Tethys and its asymmetric advantages provide a considerable resilience against a rapid collapse.",
scenario_004,framework_baseline,4,worst_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.81,high,"The combination of Novaris's significant military mobilization, the potential for economic strangulation despite Tethys's control of critical energy transit pipelines, and the limitations on Meridian's ability to provide direct military aid due to domestic constraints, alongside the psychological impact of simulated territorial shifts and disinformation campaigns, suggests a high likelihood of government collapse in Tethys by the end of Period 1.",
scenario_004,framework_baseline,0,base_rate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The historical base rate of government collapse in similar crises of great-power pressure campaigns against smaller states is estimated at 40%. Adjustments are made for Tethys's strong international support, asymmetric military capabilities, and Novaris's economic vulnerabilities, which lower the probability, as well as for the escalating military situation and potential for economic collapse, which raise it. The net adjustment results in a lower probability than the base rate due to Tethys's defensive advantages and international diplomatic efforts.",
scenario_004,framework_baseline,1,key_indicator,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.21,medium,"The key indicator selected is the 'Tethys Territory Remaining' at 66.8%, which has high predictive validity for government collapse due to its direct relation to the war's outcome and Tethys's ability to maintain control. This indicator is not yet at a critical threshold for immediate collapse, and other factors like increased international support and economic sanctions on Novaris reinforce Tethys's position. The probability estimate is derived primarily from the territorial control indicator, adjusted for the positive influence of these secondary factors.",
scenario_004,framework_baseline,7,structural,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"Tethys's government resilience is moderately compromised due to economic strain and territorial loss, but robust international support and asymmetric military capabilities maintains a degree of stability, while Novaris's actions indicate a high-stakes gambit that could backfire and bolster Tethys's resolve.",
scenario_004,framework_baseline,8,game_theoretic,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The probability of Tethys's government collapse is driven by Novaris's significant military advantage, despite Tethys's asymmetric capabilities and international support, which may deter full-scale invasion. Economic sanctions on Novaris and internal divisions may limit its willingness to escalate, while Meridian's security commitment and Valkoria's diplomatic efforts aim to de-escalate the crisis. However, the ongoing military mobilization and cyber attacks suggest a heightened risk of miscalculation or unintended escalation.",
scenario_004,framework_baseline,6,trend,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The probability of Tethys's government collapse is driven by the deteriorating trend in territory control, a decline in GDP, and increasing sanctions on Novaris, which although hurting Novaris, also indicate a heightened crisis level. However, the defender's advantage, international support, and asymmetric capabilities of Tethys slow down the pace of collapse. The recent military aid to the defender and backchannel negotiations by Aurelia also contribute to a lower probability of immediate collapse.",
scenario_004,framework_baseline,9,devils_advocate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.82,high,"The conventional view underestimates the cumulative impact of economic sanctions, Cyber operations, and the potential for internal divisions within Novaris to spill over into Tethys, weakening its government. Meanwhile, Tethys's asymmetric capabilities and international support might not be enough to counter the decisive pressure campaign by Novaris, potentially leading to a collapse. The recent military aid to the defender and backchannel negotiations by Aurelia suggest a complex situation where multiple factors could accelerate Tethys's government removal.",
scenario_005,framework_baseline,3,historical_analogy,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The historical analogy of the Georgian-Russian war in 2008 suggests a moderate likelihood of Tethys's government collapse, as the smaller state faced significant military pressure and international isolation. However, key differences, such as Tethys's stronger international support and Novaris's economic vulnerabilities, reduce the likelihood of collapse, while the coup attempt in Tethys increases it, leading to an adjusted probability estimate.",
scenario_005,framework_baseline,4,worst_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.81,medium,"The high likelihood of government collapse in Tethys is driven by the cumulative effect of severe economic sanctions, escalating military tensions, and the potential for internal destabilization following the recent coup attempt, which could be exacerbated by Novaris's information warfare efforts and the uncertain commitment of international supporters.",
scenario_005,framework_baseline,5,best_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.12,high,"Tethys's government is supported by strong international backing, with 83% of countries supporting its sovereignty, and Meridian's reaffirmed security commitment provides a significant deterrent to Novaris's aggression. The economic sanctions on Novaris and the mutual economic dependence created by Tethys-controlled pipelines also limit Novaris's ability to escalate the conflict. Additionally, Tethys's asymmetric military capabilities and defensive advantages on home terrain make a military defeat unlikely, further reducing the probability of government collapse.",
scenario_005,framework_baseline,1,key_indicator,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.21,medium,"The key indicator of 'Tethys Territory Remaining' at 74.3% suggests a relatively stable position for Tethys, indicating a lower likelihood of immediate government collapse. Secondary factors such as strong international support for Tethys and the economic sanctions on Novaris further reduce the probability of collapse. However, the high crisis level and ongoing military tensions introduce uncertainty, warranting a medium confidence level in this estimate.",
scenario_005,framework_baseline,7,structural,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.31,medium,"Tethys's institutional resilience is compromised by the recent coup attempt, but its geographic factors and asymmetric military capabilities still favor defense. International support, particularly from Meridian and Aurelia, provides a structural foundation for Tethys's resistance, while economic sanctions on Novaris may limit the aggressor's capabilities. However, the ongoing crisis and potential for further economic strain or military escalation pose significant risks to Tethys's government stability.",
scenario_005,framework_baseline,8,game_theoretic,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The probability of Tethys's government collapse is driven by the interplay of military, economic, and diplomatic factors, including the significant military advantage of Novaris, the economic costs of the conflict, and the international support for Tethys, which, while substantial, may not be sufficient to prevent a collapse given the internal chaos following the coup attempt and the intensifying legitimacy contest.",
scenario_005,framework_baseline,9,devils_advocate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.81,medium,"The conventional view underestimates the cumulative impact of economic sanctions, the legitimacy crisis faced by Novaris, and the destabilizing effect of the coup attempt in Tethys, which collectively increase the likelihood of Tethys's government collapse as it faces internal chaos and external pressure.",
scenario_005,framework_baseline,2,scenario_tree,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.421,medium,"The forecasted probability of government collapse in Tethys is driven by scenarios including full invasion, economic capitulation, and internal coup, each with varying likelihoods and conditional probabilities of collapse, considering the complex interplay of military, economic, and diplomatic factors at play.",
scenario_005,framework_baseline,0,base_rate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The historical base rate for government collapse under great-power pressure is around 35%, but given the strong international support for Tethys, its asymmetric military capabilities, and the economic sanctions on Novaris, the probability is adjusted downwards, while the attempted coup in Tethys and the intensifying legitimacy contest push it upwards, resulting in a final probability of 0.42.",
scenario_005,framework_baseline,6,trend,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The increasing sanctions on Novaris and growing international support for Tethys are positive factors, but the recent coup attempt in Tethys and Novaris's continued military pressure are significant risks to Tethys's government stability, driving the estimated probability of collapse.",
scenario_006,framework_baseline,2,scenario_tree,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.41,medium,"The probability of Tethys's government collapse is driven by scenarios of military defeat, economic collapse, and diplomatic isolation. A weighted analysis of these scenarios indicates a moderate likelihood of collapse, with the majority of probability assigned to scenarios where Novaris exerts significant military or economic pressure. However, the resilience of Tethys's asymmetric capabilities and strong international support temper this assessment, preventing a higher collapse probability.",
scenario_006,framework_baseline,1,key_indicator,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.21,medium,"The key indicator of 'Tethys Territory Remaining' at 79.2% suggests that while Tethys has lost some ground, it still controls the majority of its territory, indicating a low to moderate risk of immediate government collapse. Other factors such as high international support for Tethys and moderate economic sanctions on Novaris reinforce this assessment, though the ongoing military balance and crisis level indicate a volatile situation. The selected probability reflects the current territorial control and the impact of external support and sanctions.",
scenario_006,framework_baseline,0,base_rate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The historical base rate of government collapse under great-power pressure is around 40%, but Tethys's strong international support, asymmetric military capabilities, and control of critical energy transit pipelines reduce this likelihood, while Novaris's military mobilization and economic coercion increase it, resulting in an adjusted estimate of 0.32.",
scenario_006,framework_baseline,3,historical_analogy,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The current crisis resembles the Hungarian Revolution of 1956, where a smaller state faced overwhelming military and economic pressure from a larger power, yet international support and diplomatic efforts played a crucial role in the outcome. Key differences, such as Tethys's stronger international backing and Novaris's economic vulnerabilities, make government collapse less likely than in the historical case. Adjusting for these factors yields a probability of government collapse below one-third.",
scenario_006,framework_baseline,5,best_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.12,high,"Tethys's strong international support, robust asymmetric military capabilities, and control of critical energy transit pipelines provide significant buffers against collapse, while Novaris's economic vulnerabilities and internal ethnic divisions undermine its ability to exert decisive pressure, making a Tethys government collapse unlikely in the short term.",
scenario_006,framework_baseline,7,structural,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.21,medium,"Tethys's institutional resilience, geographic defenses, and asymmetric military capabilities contribute to its stability, while international support and diplomatic efforts further bolster its position. However, the economic strain and potential for internal divisions under prolonged pressure pose risks. The likelihood of government collapse is mitigated by these structural factors, leading to a probability below 0.3.",
scenario_006,framework_baseline,4,worst_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.81,medium,"The high likelihood of Tethys's government collapse is driven by the escalating military situation, significant economic pressure, and potential loss of international support if Novaris's aggressive actions are not effectively countered. The ongoing naval incidents, economic sanctions, and internal ethnic divisions within Novaris could exacerbate the crisis, while Tethys's asymmetric capabilities may not be sufficient to deter a determined Novarian assault. The proposed peace initiatives and diplomatic efforts may not materialize in time to prevent a catastrophic outcome for Tethys.",
scenario_006,framework_baseline,9,devils_advocate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.81,high,"The conventional view underestimates the cumulative effect of economic sanctions, the strategic vulnerability of Tethys's energy transit pipelines, and the potential for covert operations to destabilize the government, leading to a higher likelihood of collapse than initially apparent.",
scenario_006,framework_baseline,8,game_theoretic,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The probability of Tethys's government collapse is driven by the balance of military power, economic resilience, and international support. Despite Novaris's numerical advantage, Tethys's asymmetric capabilities and strong international backing reduce the likelihood of a swift military defeat. However, the economic costs of the conflict and potential internal divisions within Tethys could still lead to a government collapse, albeit with a relatively low probability.",
scenario_006,framework_baseline,6,trend,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The deteriorating trend in Tethys's territory control and GDP, combined with the increasing crisis level and sanctions on Novaris, suggest a growing pressure on Tethys's government. However, the strong international support for Tethys and the military balance, which slightly favors Tethys, indicate that a collapse is not imminent. The pace of change in these variables will be critical in determining the outcome.",
scenario_007,framework_baseline,3,historical_analogy,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The historical analogy with the Finnish-Soviet Winter War suggests a low likelihood of immediate government collapse in Tethys, but adjustments for Novaris's economic sanctions and Tethys's international support yield a moderate estimate, considering the defensive advantages and asymmetric capabilities of Tethys.",
scenario_007,framework_baseline,0,base_rate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The historical base rate of government collapse under great-power pressure is around 40%, but Tethys's strong international support, asymmetric military capabilities, and control of critical energy transit pipelines reduce this likelihood, while Novaris's numerical military advantage and economic coercion efforts increase it, resulting in an adjusted estimate of 0.32.",
scenario_007,framework_baseline,5,best_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.12,high,"Tethys's strong international support, defensive military advantages, and economic leverage through control of critical energy transit pipelines contribute to its resilience, while Novaris's economic vulnerabilities and internal ethnic divisions undermine its aggressive stance, reducing the likelihood of Tethys's government collapse.",
scenario_007,framework_baseline,6,trend,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The current trends indicate a deteriorating situation for Tethys, with a loss of 29.5% of its territory and a decline in GDP, but the pace of these changes is relatively slow, and international support for Tethys is increasing, which suggests that a collapse is not imminent but still a significant concern.",
scenario_007,framework_baseline,7,structural,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.23,medium,"Tethys's institutional resilience, supported by its democratic governance and professional military, combined with its geographic advantage in defending its territory, contribute to its ability to withstand Novaris's pressure. However, the economic strain from sanctions and potential disruption of energy transit pipelines poses a significant threat. International support, though increasing, remains contingent on political will and public opinion, making it less reliable as a structural factor.",
scenario_007,framework_baseline,8,game_theoretic,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The current military balance and Tethys's successful defense of key positions, combined with increasing international support, suggest a lower likelihood of immediate government collapse. However, Novaris's economic and military capabilities, along with potential internal divisions within Tethys, contribute to a non-negligible risk of collapse. The strategic interactions and signaling between external actors, such as Meridian's coalition building and Valkoria's proxy support, further influence the stability of Tethys's government.",
scenario_007,framework_baseline,9,devils_advocate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.81,medium,"Despite the conventional reading suggesting Tethys's resilience due to international support and asymmetric capabilities, a closer examination reveals vulnerabilities in its economic dependence on energy transit pipelines and potential internal divisions, which Novaris could exploit to force a government collapse, aided by Meridian's limited intervention capacity and Valkoria's proxy support for Novaris.",
scenario_007,framework_baseline,2,scenario_tree,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.23,medium,"The assessed probability of Tethys's government collapse is driven by the balanced military situation, growing international support, and the economic dependence between Novaris and Tethys, which suggests a low to moderate likelihood of immediate collapse, but the ongoing escalation and potential for miscalculation or internal instability in Tethys introduce uncertainty.",
scenario_007,framework_baseline,1,key_indicator,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.21,medium,"The key indicator selected is the 'Tethys Territory Remaining' at 70.5%, indicating a relatively stable control over its territory despite the ongoing crisis. The trend of international support increasing for Tethys and the defender's successful framing of the conflict as defensive also contribute to this estimate, suggesting that while there are pressures, the government's collapse is not imminent. However, the economic and military pressures applied by Novaris and the complexity of the crisis necessitate a non-negligible probability of collapse.",
scenario_007,framework_baseline,4,worst_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.82,high,"The combination of Novaris's significant military mobilization, the ongoing economic pressure due to sanctions, and the potential for internal divisions within Tethys, compounded by the risk of miscalculation in the volatile military balance, leads to a high probability of government collapse in Tethys by the end of Period 1. The defender's advantage and international support currently buoying Tethys are assessed as potentially fragile under sustained worst-case pressure. Cascade risks, including a military setback triggering economic panic and loss of international confidence, further elevate the collapse probability.",
scenario_008,framework_baseline,0,base_rate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The forecast is based on a historical base rate of 25% government collapse in similar crises, adjusted upward by the significant military pressure from Novaris and downward by Tethys's strong international support and asymmetric military capabilities, resulting in a final probability of 0.32.",
scenario_008,framework_baseline,1,key_indicator,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.23,medium,"The key indicator of Tethys Territory Remaining at 94.6% suggests a relatively stable control over its land, indicating a low likelihood of immediate military defeat. However, the economic strain with a GDP at $17.5B, significantly lower than its baseline, combined with moderate international sanctions on Novaris, suggests that while Tethys is not imminently at risk of collapse, economic pressures and potential future military actions could threaten its stability, hence a probability above 0.2.",
scenario_008,framework_baseline,5,best_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.12,high,"Tethys's government is likely to survive due to its asymmetric military capabilities, strong international support, and control of critical energy transit pipelines, which create mutual economic dependence with Novaris and deter full-scale invasion, while Meridian's security commitment and the International Organization's humanitarian efforts further bolster Tethys's position.",
