scenario_id,condition,agent_id,framework_name,information_fraction,probability,confidence,rationale,fallback_type
scenario_001,framework_shard,1,key_indicator,0.5630640561739808,0.15,medium,"Military control of core territory is the single most diagnostic indicator of government survival. Tethys retains military parity (-0.05 balance) and holds defensive positions with no reported loss of key urban centers or infrastructure. While economic contraction (GDP down 25%) is severe, the government's survival depends on battlefield outcomes, which currently show stabilization rather than collapse.",
scenario_001,framework_shard,9,devils_advocate,0.9166982057622072,0.62,medium,"The conventional analyst's low collapse probability overlooks compounding vulnerabilities: Tethys's economic foundation is deteriorating rapidly (GDP down 37% with further crisis), creating internal instability despite battlefield stabilization; asymmetrical capabilities are a double-edged sword that could provoke disproportionate Novaris escalation; international support at 59% appears substantial but Meridian's 'coalition building' and Valkoria's disinformation campaign signal fragile alliances. The alternative narrative suggests Tethys could face internal breakdown from economic collapse and diplomatic isolation pressure, even without conventional military defeat, with external powers potentially accepting a managed transition to avoid wider conflict.",
scenario_001,framework_shard,2,scenario_tree,0.5447801905816728,0.09,medium,"Government collapse is unlikely in the short term due to Tethys's strong defensive posture and substantial international backing. The scenario tree is dominated by a 65% probability of a protracted conflict scenario where Tethys is resilient, but a 15% chance of a failed negotiation leading to a damaging, full-scale invasion drives the overall risk.",
scenario_001,framework_shard,8,game_theoretic,0.9291226960570572,0.15,medium,"Game-theoretic equilibrium analysis suggests Tethys is likely to maintain its government despite severe pressure. Tethys has strong incentives to resist given its asymmetric capabilities, defender's advantage, and high international support, while Novaris faces prohibitive costs of invasion, including a quagmire and intensified sanctions. The predicted actions—such as Tethys leveraging its precision strike capacity and Meridian strengthening its commitment—create a stable, non-collapse equilibrium, though some risk remains from economic strain and miscalculation.",
scenario_001,framework_shard,7,structural,0.6616199165093767,0.15,high,"Structurally, Tethys benefits from robust defensive geography, significant asymmetric capabilities (cyber, precision strike, critical energy transit control), and durable external support from a formal ally (Meridian) and broad international backing. Its institutional resilience is sufficient to withstand current coercive pressure, and the economic leverage from controlling pipelines provides a fundamental resource advantage against Novaris's sanctions vulnerability. Government collapse is unlikely absent a direct military defeat, which current military parity and defensive advantages make improbable in the short term.",
scenario_002,framework_baseline,0,base_rate,1.0,0.18,medium,"The base rate for government collapse in territorial disputes with military mobilization but no full-scale invasion is low (~15%). Tethys retains 62.5% territory, has strong international support (57%), and asymmetric capabilities, pushing probability down. However, significant economic damage (GDP down 36%) and sustained cyber attacks create internal pressure, nudging probability slightly above base.",
scenario_002,framework_baseline,3,historical_analogy,1.0,0.25,medium,"Anchored on the outcome of the 1995 Taiwan Strait Crisis, where the smaller state did not collapse, but adjusted lower due to Tethys's stronger asymmetric capabilities and higher current international support (57%) mitigating collapse risk. The significant economic damage and frontline stabilization suggest high cost for Novaris to achieve regime change in Tethys.",
scenario_002,framework_baseline,2,scenario_tree,1.0,0.185,medium,"The calculation is driven by two divergent scenarios. A full-scale invasion or economic capitulation scenario carries a high conditional collapse probability (0.8), but is assigned a low overall likelihood (15%). Conversely, the most probable scenarios—a diplomatic settlement, prolonged frozen conflict, or internal coup within Novaris—are collectively assigned an 85% probability and feature very low (0.0-0.1) conditional odds of Tethys's government collapsing in the near term.",
scenario_002,framework_baseline,7,structural,1.0,0.22,medium,"Structurally, Tethys's government retains significant defensive capacity through geography (territorial control at 62.5% with defensive advantages), institutional resilience from democratic governance, and durable external support from treaty ally Meridian. Despite economic strain (GDP down ~36%), the core state infrastructure and asymmetric capabilities provide buffers against collapse this period. However, sustained cyber and military pressure elevates near-term risks, though not yet overwhelming structural fundamentals.",
scenario_002,framework_baseline,6,trend,1.0,0.32,medium,"The government's trajectory is negative but shows signs of early stabilization. Key deterioration is rapid (37.5% territory loss, 36% GDP drop), but current momentum suggests a defensive hold as the crisis level is moderate (6/10) and military balance is near parity (-0.21), despite facing cyber attacks and economic pressure. International support is strong (57%) and rising, acting as a leading stabilizer against immediate collapse.",
scenario_002,framework_baseline,4,worst_case,1.0,0.65,medium,"Applying worst-case analysis, Tethys has lost 37.5% of its territory, severely compromising its economic base and defense posture; the most threatening plausible reading of the 57% international support is that it's insufficient, non-binding, and may falter as Meridian faces domestic constraints and Aurelia balances energy needs, risking a cascade where territorial losses trigger economic collapse and a fatal erosion of political legitimacy, despite Tethys's asymmetric capabilities and defender's advantage.",
scenario_002,framework_baseline,5,best_case,1.0,0.15,medium,"The Tethys government retains substantial resilience with 62.5% territory, strong international support (57%), a stabilized military front, and critical economic leverage via pipelines. Diplomatic initiatives and humanitarian corridors provide stabilizing pressure, while asymmetric capabilities and defender's advantage likely deter decisive Novaris escalation, making collapse this period unlikely absent a sudden shock.",
scenario_002,framework_baseline,9,devils_advocate,1.0,0.65,medium,"The conventional view likely sees Tethys as resilient due to strong international support and asymmetric advantages, but this underestimates the compounding effects of severe economic contraction (GDP down 36%), progressive territorial loss, and cyber attacks degrading governance capacity. Novaris's sustained pressure, combined with potential internal fractures from the ethnic Tethyan minority and war-weariness, could precipitate a collapse through economic implosion or coup, even without full military defeat.",
scenario_002,framework_baseline,1,key_indicator,1.0,0.25,medium,"The key indicator is territory remaining at 62.5%, which historically is above the critical threshold for government survival; despite economic decline and military disadvantage, Tethys maintains defensive stability and international backing, reducing collapse risk but not eliminating it given ongoing pressure.",
scenario_002,framework_baseline,8,game_theoretic,1.0,0.15,medium,"The equilibrium analysis suggests that, although Tethys has suffered significant territorial loss (37.5%) and economic damage, its rational strategy of asymmetric defense remains viable given its strong international support (57%) and the high costs Novaris would incur from a full invasion. External actors like Meridian (coalition building) and Aurelia (backchannel negotiations) are actively supporting Tethys's sovereignty, reducing the likelihood of immediate military defeat or internal collapse. Rational play favors a frozen conflict or negotiated stalemate over a decisive Novaris victory in this period.",
scenario_002,framework_shard,3,historical_analogy,0.37416124476101864,0.65,medium,"The closest historical parallel is Georgia 2008, where Russia's military intervention resulted in Georgia losing significant territory but its government surviving despite initial battlefield defeats. Key differences here make Tethys more vulnerable: Novaris has already seized 37.5% of territory versus Russia's ~20% in Georgia, and Tethys faces greater economic pressure with GDP down 36% versus Georgia's 15% decline. However, stronger international support (57% versus limited Western backing for Georgia) and Novaris facing substantial isolation costs provide counterbalancing factors.",
scenario_002,framework_shard,2,scenario_tree,0.22927983403264457,0.19,medium,"The low overall probability is driven by Tethys's strong defensive posture, resilient economy, and substantial international backing, making government collapse unlikely in the short term. The risk is concentrated almost entirely in a high-intensity invasion scenario, which is currently assigned low probability due to Novaris's constraints and international deterrence.",
scenario_002,framework_shard,4,worst_case,0.8450891379448864,0.38,low,"Worst-case analysis highlights severe threats: significant territorial loss (37.5%) combined with a 36% GDP contraction could destabilize Tethys's government through economic collapse and loss of governing capacity. The military balance (-0.21) favors Novaris, and ambiguous diplomatic outcomes may signal weakening international resolve, potentially cascading into loss of support. While Tethys retains asymmetric capabilities, defender's advantage, and some international backing, these stabilizing factors are under severe strain, and a continued adverse trajectory in Period 1 could push the situation toward collapse.",
scenario_002,framework_shard,0,base_rate,0.8210669668540409,0.18,medium,"Starting from a low historical base rate (~10%) for government collapse in interstate crises with mobilization but no full-scale invasion, the probability is moderately increased by Novaris's sustained military pressure and Tethys's significant territorial and GDP losses. However, it is strongly reduced by Tethys's intact asymmetric deterrence, high international support, and the absence of a decisive military breakthrough or internal coup indicators.",
scenario_002,framework_shard,6,trend,0.8367546702320984,0.12,high,"The rate of change in key variables strongly favors Tethys's survival. Military balance has shifted dramatically towards Tethys (from Novaris advantage to Tethys advantage), international support is rising significantly, and sanctions on Novaris are accelerating, indicating strong external pressure. While economic damage exists, stabilizing battlefield trends and growing diplomatic initiatives suggest the government is consolidating defensive strength and international backing, making collapse highly improbable in the short term.",
scenario_002,framework_shard,5,best_case,0.7033010288423874,0.18,medium,"Tethys demonstrates strong resilience with substantial and growing international support, reinforced by Meridian's explicit security commitment and coordinated diplomatic efforts from Aurelia and the International Organization, which facilitate humanitarian assistance and deter escalation. Its significant asymmetric capabilities, including cyber units and economic leverage from controlling critical energy pipelines, create a robust defensive position and mutual costs for Novaris, reducing the likelihood of military defeat or internal collapse in the short term. While risks exist from Novaris's pressure campaign, the most favorable reading of ambiguous signals—such as high defender GDP retention, matched forces, and active peace initiatives—suggests adequate buffers against government removal in Period 1.",
scenario_002,framework_shard,1,key_indicator,0.7848552330776402,0.15,medium,"The single most diagnostic variable is International Support for Tethys at 57%, which remains substantial and growing, including Meridian's reaffirmed security commitment and active coalition building. This strong external backing significantly reduces the risk of government collapse by deterring military defeat and providing economic and diplomatic buffers, despite moderate economic damage (GDP down 36%) and a slightly unfavorable military balance (-0.21).",
scenario_002,framework_shard,7,structural,0.6009427601092673,0.18,medium,"Tethys has demonstrated institutional resilience through mobilization and asymmetric capabilities, while its advanced cyber and precision strike units allow defensive strength; significant international support (57%) and sanctions on Novaris (41%) provide structural backing, reducing immediate collapse risk, but ongoing military pressure and cyber attacks keep some vulnerability.",
scenario_002,framework_shard,8,game_theoretic,0.49533559458640825,0.15,medium,"Game-theoretic analysis indicates Tethys's government collapse is unlikely in the short term due to strategic deterrence and international support. Tethys has asymmetric capabilities and Meridian's security commitment, creating a stable deterrent equilibrium where Novaris faces high costs for escalation. However, moderate risk remains from economic pressures and potential miscalculation, but rational actors prefer negotiated outcomes over regime change.",
scenario_002,framework_shard,9,devils_advocate,0.23480045730875027,0.3,medium,"Despite Tethys's strong defensive posture and international support, asymmetric warfare can lead to rapid escalation and miscalculation; its government faces risk from a catastrophic cyber or precision strike decapitating leadership, economic strangulation if Novaris reroutes energy flows with Aurelia's tacit support, or internal fracture under sustained pressure despite democratic resilience.",
scenario_003,framework_baseline,1,key_indicator,1.0,0.25,medium,"The key indicator is territory control (88.6% remaining), which historically strongly predicts government survival; major battlefield shifts favoring the defender suggest Novaris's initial gains are being countered, reinforced by high sanctions (68%) and moderate international support (34%), though economic pressures and crisis volatility warrant caution.",
scenario_003,framework_baseline,3,historical_analogy,1.0,0.15,medium,"The closest historical parallel is the 2022 Ukraine invasion, where despite early setbacks, Ukraine's government did not collapse, anchored by strong international support, asymmetric capabilities, and high survival motivation. Key differences slightly favor Tethys: higher baseline sanctions (68% vs. initial), no major territorial loss yet (88.6% control), and more ambiguous great-power intervention posture, though economic shocks and information warfare introduce moderate risk.",
scenario_003,framework_baseline,2,scenario_tree,1.0,0.28,medium,"The overall probability is low because Tethys retains strong asymmetric capabilities, significant international support (growing sanctions on Novaris), and high crisis level suggests active defense. However, major battlefield gains by Novaris increase risk of territorial loss and economic damage from wheat price surge and sanctions impacts.",
scenario_003,framework_baseline,4,worst_case,1.0,0.73,medium,"Worst-case analysis identifies multiple converging collapse vectors: 1) Novaris's battlefield breakthrough could rapidly degrade Tethys's territorial integrity below critical threshold (approaching 80%), triggering military defeat cascade; 2) economic devastation (GDP already down 11.3% despite initial crisis phase) with wheat price surge could catalyze domestic unrest and government legitimacy collapse; 3) information warfare's deepfake video could fracture international support (currently only 34%) while sanctions pressure remains insufficient (68%) to deter Novaris. Even Tethys's asymmetric capabilities may be overwhelmed by Novaris's major battlefield shift—the worst plausible interpretation suggests imminent military collapse followed by political disintegration.",
scenario_003,framework_baseline,5,best_case,1.0,0.12,medium,"Tethys retains strong resilience factors: 88.6% territorial control, effective asymmetric defense deterring invasion, substantial international backing with sanctions at 68%, and Meridian's coalition building. The economic disruption is moderate, and deepfake controversies are unlikely to topple a government facing an existential threat, which galvanizes domestic unity. The government's survival is the most likely outcome given the defender's advantage and the high costs imposed on Novaris.",
scenario_003,framework_baseline,6,trend,1.0,0.85,high,"Rapid territorial loss (11.4% in one period) shows Novaris gaining decisive battlefield momentum, creating severe military stress on Tethys. The sharp GDP contraction (-11.3%) combined with crisis level maxed at 10/10 indicates systemic economic-political deterioration accelerating beyond sustainable thresholds. Despite sanctions on Novaris rising, international support for Tethys remains below decisive levels, and Meridian's coalition building suggests intervention remains indirect rather than immediately stabilizing Tethys's collapsing position.",
scenario_003,framework_baseline,0,base_rate,1.0,0.15,medium,"Base rate for government collapse in comparable territorial crises with international involvement is low (~5-10%). Adjusting upward due to significant military pressure (Novaris gaining territory) and economic shock from wheat prices, but downward due to Tethys's strong asymmetric capabilities, high international sanctions against Novaris, and continued diplomatic support, resulting in a low probability of collapse.",
scenario_003,framework_baseline,7,structural,1.0,0.15,medium,"Structurally, Tethys has robust defensive advantages including strong institutional resilience as a motivated democratic state, asymmetric military capabilities for imposing severe costs, and significant international diplomatic and economic support that is institutionalizing. While facing economic pressure and battlefield losses, the fundamentals of its governance, geography favoring defense, and deepening external commitment from Meridian create a high threshold for government collapse within this period.",
scenario_003,framework_baseline,8,game_theoretic,1.0,0.08,medium,"The equilibrium analysis suggests Tethys government collapse is highly unlikely in Period 1 given strategic constraints. Novaris faces prohibitive costs from Meridian's coalition building, severe sanctions (68%), and Tethys's asymmetric capabilities, making full invasion irrational; Tethys, with 88.6% territory, strong defender's advantage, and survival imperative, has no incentive to capitulate. The most likely equilibrium is continued stalemate with proxy support and negotiations, as all actors (including Aurelia and Valkoria) prefer managed escalation over regime change.",
scenario_003,framework_baseline,9,devils_advocate,1.0,0.65,medium,"The conventional view of Tethys's resilience underestimates the cumulative shock of territorial loss, economic strain from sanctions, and information warfare eroding domestic morale and international support. A successful asymmetric defense requires unbroken will and external backing, both of which are being actively and successfully undermined by Novaris's multi-domain pressure campaign and external actor actions favoring destabilization.",
scenario_003,framework_shard,1,key_indicator,0.3399961216120491,0.15,medium,"The key indicator is military balance, which shows Tethys is fully mobilized in a defensive war with international backing, making decisive defeat unlikely in the short term. Secondary checks on economic crisis and international support (34% and rising) show significant resilience, though severe challenges persist, slightly elevating the risk above minimal levels.",
scenario_003,framework_shard,2,scenario_tree,0.21936841076888747,0.15,medium,"The probability is driven by the defender's advantage and international support for Tethys, which make immediate government collapse unlikely despite Novaris's territorial gains. However, scenarios involving prolonged warfare or economic strain carry moderate collapse risks, weighted by their likelihood.",
scenario_003,framework_shard,5,best_case,0.3362564739162373,0.12,medium,"The best-case analysis reveals significant government resilience: substantial and growing international diplomatic and economic support, direct security guarantees from a powerful ally (Meridian) actively building a coalition, a stable domestic base, and the critical defensive advantage inherent to their side of a military standoff. Economic pressure is likely mitigated by international aid, and while cyber/info warfare is a threat, the government retains control and legitimacy. The probability is low because the stabilizing factors—external backing, defensive posture, and institutional continuity—create a high threshold for government collapse in the current period, even under a severe crisis.",
scenario_003,framework_shard,0,base_rate,0.7695331136897962,0.15,medium,"Starting from a base rate of ~25% for government collapse in crises with military mobilization against smaller states, the probability is lowered by Tethys's strong asymmetric capabilities, defender's advantage, and ongoing international sanctions against Novaris. However, it is slightly raised by Novaris's territorial gains, economic damage to Tethys, and potential for further escalation, but significant factors for collapse are not yet present.",
scenario_003,framework_shard,7,structural,0.440391050885946,0.18,medium,"Tethys demonstrates structural resilience with Meridian's treaty-based security commitment (NATO-like obligation), robust asymmetric capabilities including cyber/economic leverage, and defensible geography allowing force preservation. While facing pressure, institutional foundations appear intact, with loss mechanisms requiring sustained military defeat beyond current crisis escalation levels. External sanctions targeting Novaris (68%) and Meridian's structural alliance provide defensive depth that makes outright government collapse unlikely within Period 1.",
scenario_003,framework_shard,8,game_theoretic,0.6267422360599042,0.12,medium,"Game-theoretic equilibrium analysis suggests Novaris's mobilization is likely coercive brinkmanship with limited appetite for full invasion given Tethys's high-cost asymmetric capabilities and credible defense commitment; Tethys has strong survival incentives, defender's advantage, and sufficient international backing to deter regime change, making government collapse unlikely but not impossible if signaling fails or Novaris miscalculates.",
scenario_003,framework_shard,4,worst_case,0.8303549392980047,0.7,medium,"Applying worst-case analysis: the major battlefield shift indicates significant territorial losses for Tethys, plausibly exceeding 10% of its territory, undermining governance capacity and morale. Combined with a 32% surge in wheat prices causing severe economic strain and potential public unrest, and international actions like Meridian's coalition building and Valkoria's proxy support likely indicating fragmented or insufficient immediate military intervention, Tethys faces cascading risks of military defeat, economic collapse, and internal destabilization. While Tethys retains asymmetric capabilities and some international support, these stabilizing factors are under severe pressure given the pessimistic interpretation of ambiguous signals.",
scenario_003,framework_shard,3,historical_analogy,0.8637363761219846,0.25,medium,"The best historical analogy is Ukraine 2014-2022, where despite military pressure and territorial losses, the Ukrainian government survived and functioned. While Tethys has lost 11.4% territory (more than Crimea's 4.3%), its GDP remains at 88.7% of baseline and retains significant asymmetric capabilities, plus Meridian's security commitment provides deterrence. Key differences making collapse less likely include Tethys's superior asymmetric warfare capacity compared to pre-2022 Ukraine and stronger initial international sanctions against Novaris.",
scenario_003,framework_shard,9,devils_advocate,0.7786086211125787,0.32,medium,"Conventional analysis underestimates the potential for rapid Novaris escalation exploiting military posture and economic warfare, while overestimating Tethys's asymmetric deterrence and the speed/effectiveness of international intervention. A surprise Novaris limited-objective strike, combined with cyber/economic shocks and diplomatic isolation, could cripple Tethys's governance capacity before external support materializes decisively.",
scenario_003,framework_shard,6,trend,0.1295480532778287,0.68,medium,"The critical variable trajectories are all negative and likely accelerating. International support is low at 34%, crisis level is maximal at 10/10, Tethys is intensifying its rejection of talks, and Meridian's military intervention is constrained by domestic politics. With the key ally unable to act decisively and the crisis already at peak intensity, the momentum points toward a rapid military or political collapse, though the exact timing has some uncertainty.",
