scenario_id,condition,agent_id,framework_name,method,lens,focus,bias,information_fraction,probability,confidence,rationale,fallback_type
scenario_002,framework_shard,5,key_indicator_loss_averse_military_sunk_cost,key_indicator,loss_averse,military,sunk_cost,0.11378469832631677,0.5,low,Error,api_error
scenario_002,framework_shard,7,base_rate_threat_focused_political_normalcy,base_rate,threat_focused,political,normalcy,0.9134876105094273,0.23,medium,"Base rate anchoring from comparable territorial crises with asymmetric warfare suggests ~15-20% government collapse probability. Tethys retains 62.5% territory, substantial international support at 57%, and defensive military advantages. However, GDP collapse to 64% of baseline, escalating cyber attacks on critical infrastructure, and the survival imperative creating political rigidity all elevate risks. The political-dominant lens weights Meridian's constrained commitment heavily—domestic war-weariness limits escalation options. Normalcy bias would push lower, but threat-focused interpretation of cyber infrastructure attacks and economic fragility sustains elevated estimate. Government collapse remains unlikely but materially above baseline given territorial attrition and economic stress.",
scenario_002,framework_shard,8,scenario_tree_resilience_focused_political_anchoring,scenario_tree,resilience_focused,political,anchoring,0.6585040275991033,0.5,low,Error,api_error
scenario_002,framework_shard,9,scenario_tree_loss_averse_events_normalcy,scenario_tree,loss_averse,events,normalcy,0.5722833394064819,0.23,medium,"Scenario analysis yields four paths: (1) Full Novaris invasion with international intervention (15% prob, 45% collapse) — recent Meridian commitment and Tethys asymmetric capabilities reduce but don't eliminate this risk; (2) Limited conflict/frozen conflict (35% prob, 15% collapse) — current defensive stabilization and cyber incident show Tethys vulnerability but not systemic failure; (3) Negotiated settlement with concessions (40% prob, 10% collapse) — peace initiative and Aurelia backchannel suggest diplomatic momentum, though loss-averse weighting on any territorial concession elevates risk; (4) Economic collapse from protracted pressure (10% prob, 60% collapse) — mutual pipeline dependence creates vulnerability but current sanctions at 41% insufficient alone. Weighted calculation: (0.15×0.45)+(0.35×0.15)+(0.40×0.10)+(0.10×0.60)=0.0675+0.0525+0.04+0.06=0.22. Normalcy bias adjustment (+0.01) for institutional resilience, recent diplomatic activity, and historical government survival patterns. Final: 0.23 reflects elevated but contained risk — losses are accumulating (cyber infrastructure, economic pressure, diplomatic isolation of Novaris) but not yet at irreversible tipping point for governing capacity.",
scenario_002,framework_shard,6,base_rate_detached_military_normalcy,base_rate,detached,military,normalcy,0.8954471573992995,0.5,low,Error,api_error
scenario_002,framework_shard,2,scenario_tree_resilience_focused_economic_overconfidence,scenario_tree,resilience_focused,economic,overconfidence,0.8239959288571084,0.5,low,Error,api_error
scenario_003,framework_baseline,0,structural_detached_military_none,structural,detached,military,none,1.0,0.12,medium,"Military factors dominate: Tethys retains 88.6% of its territory with defensive positions intact, and the military balance at -0.21 reflects only modest Novarian advantage against prepared defenses. Tethys's asymmetric capabilities (precision strike, cyber warfare) create credible deterrence against rapid collapse. Structural fundamentals support resilience: 34% international support with Meridian coalition-building provides external backing, and while GDP has fallen 11%, this is not catastrophic collapse territory. The deepfake information operation and wheat price surge are disruptive but do not threaten governing capacity. Geographic defender's advantage, professional military mobilization, and survival-motivated cohesion make rapid regime change unlikely despite high crisis intensity.",
scenario_003,framework_baseline,4,base_rate_loss_averse_economic_sunk_cost,base_rate,loss_averse,economic,sunk_cost,1.0,0.34,medium,"Base rate for government collapse in territorial crises with major power aggression and international backing is approximately 25-30% (post-1945 cases of small states facing hegemonic pressure with allied support). Period 1 shows severe economic contraction for Tethys (GDP down 11.3% to $26.6B) and Novaris (down 14.4% to $85.6B), with sanctions at 68% intensity. The 11.4% territorial loss is a significant irreversible loss weighted heavily under loss aversion, compounded by wheat price surge affecting food security. However, international support at 34% and coalition-building by Meridian, combined with substantial prior investment by external actors (diplomatic capital, security commitments, humanitarian corridor preparation), creates strong sunk-cost commitment to Tethys survival. The asymmetric military capabilities and defender's advantage prevent rapid collapse despite the economic shock. Net adjustment: +9% from base rate for economic damage and territorial loss, -5% for international investment and sunk costs, yielding 0.34.",
scenario_003,framework_baseline,2,structural_threat_focused_holistic_sunk_cost,structural,threat_focused,holistic,sunk_cost,1.0,0.31,medium,"Structural fundamentals show Tethys has lost 11.4% territory and 11% GDP, with military balance at -0.21 favoring Novaris. The 'Major Battlefield Shift' indicating significant territorial gains by a major power (presumably Novaris) threatens geographic integrity, while the deepfake information warfare attack targets institutional legitimacy. However, Tethys retains 88.6% territory, maintains asymmetric capabilities including pipeline leverage, and has seen international support grow to 34% with sanctions on Novaris at 68%. The sunk cost investment by Meridian and international actors in Tethys's survival creates structural commitment to prevent collapse. Tethys's defensive terrain advantage, demonstrated willingness to impose costs, and survival imperative suggest institutional resilience despite pressure. The threat-focused interpretation weights the territorial loss and information warfare heavily, but structural support and remaining capacity prevent higher collapse probability.",
scenario_003,framework_baseline,6,historical_analogy_resilience_focused_holistic_confirmation,historical_analogy,resilience_focused,holistic,confirmation,1.0,0.12,medium,"The Tethys Crisis most closely parallels the 1990-1991 Gulf War standoff and the 2008 Russia-Georgia conflict, but the strongest analogy is the 1990-1991 Gulf War where international coalition building preceded successful deterrence. The historical anchor shows smaller state survival when great-power allies make credible commitments—Meridian's coalition building mirrors this. Key differences strengthening Tethys resilience: (1) Tethys retains 88.6% territory with defensive advantage, unlike Kuwait's rapid overrun; (2) 68% sanctions on Novaris exceed historical precedents, creating economic drag; (3) Tethys's asymmetric cyber/precision strike capabilities and pipeline leverage create mutual deterrence absent in 1990. The deepfake controversy and wheat price surge create friction but not systemic collapse drivers. Aurelia's backchannel negotiations and Valkoria's proxy support suggest diplomatic off-ramps. Military balance at -0.21 favors Novaris but not decisively; Tethys's defensive posture and demonstrated willingness to impose costs create stalemate dynamics. The resilience-focused lens weights institutional depth, international commitment, and economic adaptation heavily—all favoring Tethys survival. Initial impression from 88.6% territory retention and Meridian coalition building suggests low collapse probability; subsequent evidence of sanctions, asymmetric capabilities, and diplomatic activity confirms this. Final estimate anchored on Kuwait survival (with coalition) adjusted for Tethys's superior defensive position and mutual economic dependence.",
scenario_003,framework_baseline,1,base_rate_loss_averse_political_overconfidence,base_rate,loss_averse,political,overconfidence,1.0,0.5,low,Error,api_error
scenario_003,framework_baseline,3,key_indicator_resilience_focused_economic_overconfidence,key_indicator,resilience_focused,economic,overconfidence,1.0,0.5,low,Error,api_error
scenario_003,framework_baseline,9,structural_resilience_focused_political_normalcy,structural,resilience_focused,political,normalcy,1.0,0.08,medium,"Tethys retains 88.6% of its territory with intact governing institutions, and the structural fundamentals strongly favor resilience: Meridian's coalition-building represents durable alliance commitment rather than contingent political will, international support at 34% is substantial and growing with coordinated diplomatic pressure, and the defender's terrain advantage combined with asymmetric capabilities creates prohibitive costs for Novaris. The deepfake information warfare and wheat price surge are manageable irritants rather than structural threats, and backchannel negotiations through Aurelia provide off-ramps. Historical patterns of democratic state survival under pressure, combined with Tethys's demonstrated mobilization capacity and the survival imperative driving national cohesion, make government collapse highly improbable despite the 10/10 crisis level.",
scenario_003,framework_baseline,7,base_rate_loss_averse_events_sunk_cost,base_rate,loss_averse,events,sunk_cost,1.0,0.5,low,Error,api_error
scenario_003,framework_baseline,8,base_rate_detached_events_availability,base_rate,detached,events,availability,1.0,0.5,low,Error,api_error
scenario_003,framework_baseline,5,structural_loss_averse_economic_recency,structural,loss_averse,economic,recency,1.0,0.73,medium,"The 11.4% territorial loss and 11.3% GDP contraction represent severe irreversible structural damages that trigger loss-aversion compounding, while the 32% wheat price surge and deepfake-driven leadership crisis create immediate economic and governance incapacitation. Despite international coalition-building, the recent battlefield defeat and fiscal deterioration dominate the forecast, as the defender's asymmetric advantages failed to prevent rapid territorial and economic erosion. The structural fundamentals indicate that Tethys's small economic base ($26.6B) cannot sustain concurrent territorial hemorrhaging, sanctions-driven trade disruption, and food security shocks without acute regime instability.",
scenario_003,framework_shard,0,key_indicator_detached_events_confirmation,key_indicator,detached,events,confirmation,0.9476822121311279,0.5,low,Error,api_error
scenario_003,framework_shard,2,base_rate_contrarian_events_recency,base_rate,contrarian,events,recency,0.38464481060103783,0.5,low,Error,api_error
scenario_003,framework_shard,1,structural_contrarian_economic_anchoring,structural,contrarian,economic,anchoring,0.9058454071859229,0.5,low,Error,api_error
scenario_003,framework_shard,7,historical_analogy_resilience_focused_holistic_none,historical_analogy,resilience_focused,holistic,none,0.842086374082563,0.5,low,Error,api_error
scenario_003,framework_shard,6,structural_resilience_focused_holistic_normalcy,structural,resilience_focused,holistic,normalcy,0.5351216774681419,0.5,low,Error,api_error
scenario_003,framework_shard,5,structural_loss_averse_holistic_overconfidence,structural,loss_averse,holistic,overconfidence,0.24985393328798988,0.18,high,"Structural fundamentals strongly favor Tethys survival: defensive military balance (-0.21 slight Novaris advantage is insufficient for decisive victory), substantial and growing international support (34% with Aurelia coordinating and Meridian coalition-building), and institutional resilience demonstrated by sustained defensive positions. The deepfake information operation, while damaging, is reversible and has not fractured governing capacity. Geographic factors favor defense, and economic coercion lacks structural teeth given diversified external backing. Losses are temporary and containable; gains in diplomatic solidarity are structural and durable. Crisis escalation remains below threshold for regime-threatening collapse.",
scenario_003,framework_shard,4,historical_analogy_resilience_focused_political_availability,historical_analogy,resilience_focused,political,availability,0.2259640043790962,0.5,low,Error,api_error
scenario_003,framework_shard,3,historical_analogy_threat_focused_holistic_confirmation,historical_analogy,threat_focused,holistic,confirmation,0.6133549073231928,0.5,low,Error,api_error
scenario_003,framework_shard,8,key_indicator_resilience_focused_economic_recency,key_indicator,resilience_focused,economic,recency,0.22957859012971726,0.5,low,Error,api_error
scenario_003,framework_shard,9,structural_detached_events_recency,structural,detached,events,recency,0.6865143526654803,0.42,medium,"Recent events show mixed signals requiring careful parsing. The deepfake video targeting Tethys leadership (Information Warfare) represents a fresh attack on institutional legitimacy, while new financial sanctions on Novaris (Sanctions) and Meridian's coalition-building suggest growing external support for Tethys. However, the 'Major Battlefield Shift' indicating significant territorial gains by a major power is ambiguous—if this refers to Novaris making gains, it would dramatically increase collapse risk; if it refers to Tethys or allies, it reduces it. Given the context emphasizes Novaris as aggressor and Tethys as defender with asymmetric capabilities, I interpret this likely as Novaris achieving some breakthrough, which combined with daily cyber exchanges, economic warfare, and covert operations creates substantial near-term pressure. Tethys's demonstrated willingness to impose costs and its defensive terrain advantages are structural strengths, but the recency of intensified pressure campaigns and the ambiguous battlefield development push probability above baseline. The 42% reflects elevated but not decisive risk—Tethys retains governing capacity, international support is growing, and no territory has been definitively lost yet, but the latest period's escalations create genuine vulnerability to rapid deterioration if the battlefield shift proves unfavorable.",
